Country/Region;Country_Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Aruba;ABW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1121229050,28;1195530726,26;1264245810,06;1326256983,24;1377094972,07;1393854748,60;1353631284,92;1260335195,53;1275418994,41;1450279329,61;1597765363,13;1596648044,69;1730167597,77;1858659217,88;1593854748,60;1459217877,09;1729050279,33;1653631284,92;2067039106,15;2144692737,43;2146368715,08;2114525139,66;2241340782,12;;
Afganistán;AFG;22222233,33;24444455,56;26666680,00;68888922,22;71111144,44;113333340,00;120000000,00;113333340,00;122222228,89;142222222,22;171111104,44;199999988,89;235555544,44;224444437,78;302222222,22;300000006,67;337777777,78;344444451,11;357777771,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angola;AGO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8187952996,90;6736804052,06;8725781181,80;9676099739,57;13749769575,32;24225663183,76;33245105956,22;44319695565,28;64168383679,80;41310593206,45;51572818660,87;67822745138,12;71632934595,89;69376269461,85;65126113465,19;34572954933,63;28440561886,98;35420915616,94;41388899132,59;36020868041,68
Albania;ALB;;;;;;;;;;;;;;;;;;;;;;;;;335069933,05;319090900,27;327312512,50;333550012,50;348287487,50;418924987,50;312500000,00;82300000,00;81519209,68;189399541,46;225407481,03;302465325,39;371812526,26;230306748,47;291948928,29;540977552,50;700086106,33;836718641,24;910731607,95;1169853125,64;1596260273,15;1853023371,31;2242664372,49;3016115601,49;3259292016,41;3040048179,53;3337088824,26;3769453237,89;3565049240,09;3694416159,11;3732053469,85;3104896170,82;3437122661,46;4110293870,70;4785182221,93;4821430666,53
Andorra;AND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
El mundo árabe;ARB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;163372147929,81;186085783016,37;213386799718,72;219975443097,60;171770953459,01;206601547096,95;290224141454,02;267893816830,20;278709444296,84;348273945270,19;463461938870,34;626255019186,27;765035512564,90;892168261880,02;1192287540640,32;837342747349,07;1040863559881,90;1364330069318,63;1543161753297,02;1527895751002,42;1451292529352,81;1068307981152,86;982340627654,26;1125081734176,18;1318919927659,46;1273419126714,20
Emiratos Árabes Unidos;ARE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50787202178,35;54362695711,37;69538461538,46;93968596324,03;122070878148,40;152433690946,22;186690265486,73;248808168822,33;201958883594,28;238328114363,51;315867937372,36;375513955071,48;392244520081,69;401366643975,49;361252552756,98;360626276378,49;384043567052,42;392863172226,00;389372362151,12
Argentina;ARG;;;1147183934,48;1441753549,59;1424603255,50;1764705803,21;1904761830,18;1818181857,74;1714285705,23;2000000041,34;1769210602,72;2000000003,30;2500000047,49;4000000136,32;4999999839,57;3054054017,49;4695000304,43;5459999880,60;4999999950,31;4508960596,87;3895791554,56;5445263189,77;7663966255,63;9515669466,75;6003000151,65;10376666928,80;9054444307,18;8747619117,06;12029545360,59;10007559520,44;14643450361,40;14561091033,04;15095901877,65;16357317317,32;19385100000,00;24978532000,00;28381400000,00;30928400000,00;31137200000,00;27862300000,00;31223690400,00;31112418400,00;27736610298,26;33084505277,81;39266996605,80;46198180131,00;53550250227,39;65162321195,03;79762958392,30;65133480388,49;80208867995,72;97810932629,38;88655850853,77;80690471898,44;75818867911,08;63671789068,90;69842486095,87;72860588696,63;75676150102,39;77684320032,91
Armenia;ARM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;789960888,43;842829165,09;506749951,26;567247790,51;517226119,39;351337813,03;371135631,41;332378715,80;359865213,08;383089748,69;423629629,69;511522177,78;661384145,81;855676348,12;1008274439,97;1338475057,95;1413899467,46;1674567081,12;1663675191,05;1268730216,89;1828759529,04;2284326829,81;2926876972,55;3153323143,54;3315721203,94;3137020909,22;3558717362,88;4405338828,35;4907543853,58;5631686117,73
Samoa Americana;ASM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;518000000,00;513000000,00;460000000,00;498000000,00;495000000,00;505000000,00;641000000,00;530000000,00;364000000,00;335000000,00;482000000,00;457000000,00;426000000,00;427000000,00;427000000,00;362000000,00;438000000,00;
Antigua y Barbuda;ATG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;766444444,44;761740740,74;700925925,93;702518518,52;773666666,67;813111111,11;825222222,22;814814814,81;777222222,22;746740740,74;807407407,41;931925925,93;951629629,63;956703703,70;1014518518,52;1091444444,44;980185185,19;914222222,22;938518518,52;948148148,15;952148148,15;1027296296,30;1016370370,37;1043111111,11;990296296,30;1151703703,70;
