Country/Region;Country_Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Aruba;ABW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;930167597,77;1015642458,10;1125139664,80;1203910614,53;1271508379,89;1326256983,24;1427374301,68;1505586592,18;1587709497,21;1664804469,27;1767039106,15;1869273743,02;2043575418,99;2120670391,06;2054189944,13;2094413407,82;2230167597,77;2294972067,04;2343575418,99;2327932960,89;2308379888,27;2317877094,97;2368156424,58;;
Afganistán;AFG;466666655,56;477777737,78;466666655,56;702222244,44;762222182,22;995555555,56;1422222222,22;1711111100,00;1371111151,11;1386666666,67;1691108966,67;1826664357,78;1544444495,56;1637777771,11;1984444462,22;2173333413,33;2248888957,78;2680000057,78;2942222153,33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angola;AGO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3896714485,84;6171664555,56;9268944319,12;11543958083,97;13171613116,37;17739329570,87;23251227788,14;30360597136,34;40382989442,04;43668255685,87;44279734274,37;58374626097,04;68191034640,93;80897777871,14;90986199538,36;80379086228,05;70692122430,90;85631168586,51;67740456485,26;60358307992,47
Albania;ALB;;;;;;;;;;;;;;;;;;;;;;;;;1350489534,15;1365198182,30;1510787487,50;1545825025,00;1571774975,00;1659124975,00;1660736837,50;1287582611,11;1218994125,21;1641562844,34;2178257001,18;2522368078,97;3314542066,95;2447593728,70;2684989415,19;3134800868,94;3216793511,47;3484219685,37;3972820211,13;5130526003,77;6352354033,19;7083947880,40;7841919851,91;9849227948,45;12040548497,76;11072099778,79;10646768658,23;11508050880,22;10941449860,52;11633370934,96;12201535836,18;10453741097,49;10939629860,85;11861780016,79;13659875246,78;14021454834,85
Andorra;AND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
El mundo árabe;ARB;;;;;;;;;21918199707,95;24183938144,18;27309480051,28;30498763955,42;35329761316,29;41760984195,18;53643129637,57;73735178520,53;89799801107,52;113510806073,04;135231469627,15;166511263593,20;197392186623,21;226746223730,03;255773661219,83;263922321658,43;271337871046,12;277071017106,36;284334003815,36;296342457893,66;290230511236,03;315805745725,96;362888104187,18;373005208394,08;385473264629,60;394461094425,45;394490010513,42;420254072087,18;453005227761,42;480602591744,93;487484848277,25;495381586803,12;511886454056,35;515247066566,23;518862445411,14;552346202172,12;620369792057,42;697784028869,48;805882886015,85;956959442376,24;1142608659119,65;1174928724247,79;1247664341143,15;1396563331536,26;1550866368259,40;1709101897870,80;1844792930176,69;1832219121518,22;1817706982629,28;1782256258510,94;1872856818251,68;1961406267165,80
Emiratos Árabes Unidos;ARE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;71329996950,31;78539648958,48;84958535248,47;102750490047,65;115984196514,64;139810327950,99;172367350932,61;207202731436,35;158522245827,09;151476538605,35;169551736754,89;156846944090,22;175245647274,79;190289734367,68;171335879984,30;173959205662,26;194803479128,06;211618507375,90;219797376365,86
Argentina;ARG;;;19376160455,84;14985585096,20;19434576526,36;21399411627,83;22272856090,94;18504546348,95;20416857848,85;23757715275,02;23591580209,07;25465199608,00;26309749588,88;40565554072,26;55867666353,71;37081352153,54;33780449868,98;37911999742,13;40255409215,85;51220430880,78;58617235878,95;61178949170,18;63800156037,93;78812915074,43;61061001542,53;68035001718,71;89524443087,27;89049048325,96;98492044685,28;59781714319,55;113470334123,04;158920813529,10;194086408742,18;195824084384,38;213955318800,00;211354437000,00;220510438000,00;238353211100,00;243786711100,00;237777915000,00;236219366100,00;223201711200,00;72446391952,73;95225639004,85;124228047654,61;149393165256,55;176044924181,39;217144640947,56;277344288863,73;262658658519,67;336350991663,69;423649649448,92;445242277160,30;457042608919,30;433334542562,24;499614480942,49;464849978689,81;543457307150,33;425623008169,29;358072029573,71
Armenia;ARM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1510390863,91;1567812798,63;1434054772,20;1328486812,91;1391840167,85;1724545303,18;1783081308,00;1881082324,74;2104878097,13;1998198342,01;2159393241,27;2303914531,76;2444524287,08;2722752388,69;3437836535,76;4367991087,36;5444343626,24;7802810227,23;9876359204,55;8373894148,18;9102915079,33;10133530952,54;10278417926,94;10979508121,68;11334720299,44;9606433610,10;9465980642,19;10645440262,65;11372553639,54;13113811338,69
Samoa Americana;ASM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
