Country/Region;Country_Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Aruba;ABW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1141899441,34;1224022346,37;1321229050,28;1392737430,17;1458100558,66;1324022346,37;1316201117,32;1346927374,30;1432402234,64;1527932960,89;1816759776,54;1893854748,60;2008379888,27;2146368715,08;1906145251,40;1854189944,13;2136312849,16;2089385474,86;2349720670,39;2350837988,83;2164804469,27;2101117318,44;2189385474,86;;
Afganistán;AFG;37777780,00;44444446,67;51111111,11;126666717,78;144444451,11;215555548,89;259999993,33;237777784,44;208888900,00;211111117,78;208888900,00;295555548,89;288888877,78;255555562,22;320000000,00;337777777,78;380000006,67;437777795,56;457777788,89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angola;AGO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5738980003,82;6697298360,22;7370216539,32;8831519590,17;10645428494,14;15181994765,89;16320505275,10;26207276865,86;43286243193,03;44777816509,14;35682259098,18;43947386910,92;45919711316,88;49304202033,19;50471640780,90;38499512246,72;25529394463,64;28397112166,40;25887360494,15;25128993070,12
Albania;ALB;;;;;;;;;;;;;;;;;;;;;;;;;372867136,18;362610725,84;336224987,50;335624987,50;408575012,50;483800000,00;487500000,00;314316659,72;627952433,95;764996711,82;773426393,92;836744255,24;1064681063,63;795637355,15;933613389,79;1097559739,32;1508346758,51;1771126270,36;2068789181,07;2591004721,94;3220863616,26;3853668207,67;4364191251,27;5867635984,03;6717536051,19;6004542099,71;5792188899,59;6700239256,74;5860874323,61;5999382980,09;6243003412,97;5070977924,24;5436220472,44;6070361041,14;6856194878,75;6926961793,24
Andorra;AND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
El mundo árabe;ARB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;173964223900,75;192824842699,88;202116744066,44;204804931257,54;204792873415,89;198640867597,32;218132641328,23;221093077313,10;235304679104,31;270438535215,72;347596948507,56;425717238579,88;504594056659,74;659506576889,11;853723930801,11;766100394736,48;800257560792,47;910721224046,27;1026416152750,05;1112090813647,21;1173151779267,86;1087194000095,08;1015720425163,37;1065962473520,10;1107222799443,63;1151549722563,96
Emiratos Árabes Unidos;ARE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42053369639,21;47845064669,84;57668073519,40;78428046289,99;93862491490,81;112930428863,17;166134240980,26;219714363512,59;187139823008,85;178610755616,07;215973042886,32;239748672566,37;252509462219,20;277888359428,18;266276378488,77;270442477876,11;290782845473,11;281535738597,69;288397549353,30
Argentina;ARG;;;2294367226,54;1441753153,11;1424602863,73;1176470539,39;1428571371,44;1212121237,48;1428571474,84;2000000041,34;1495789482,22;2199999958,63;2374999979,49;3000000101,96;4555555489,86;3135135020,65;3030000057,09;4159999872,70;3319672098,15;4383512570,59;4989980079,95;5800000170,81;5497685333,13;6068376037,18;3762000095,04;5546666806,79;7015555449,20;8417142923,96;7839772666,04;5042239480,96;6546483925,70;11531201153,64;18606904906,12;22049649649,65;27299960000,00;26038017000,00;30148400000,00;37413700000,00;38667300000,00;32762700000,00;33070146000,00;27603881800,00;13065823829,18;18772898618,61;27736672323,67;34392237786,57;40480743015,85;52567536062,32;66316154417,08;48268743529,54;67937933972,37;88839174034,70;78013690406,71;81240190816,92;73691675720,10;70064879911,70;75639125936,77;89910533565,89;85693671129,93;67653945494,84
Armenia;ARM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1045655213,48;1243607801,03;779530102,32;729847869,30;961398417,12;913101574,26;894135813,83;955405613,88;1000634291,38;919091321,06;957156465,24;968529888,66;1096735501,87;1391414378,77;1605180991,66;2098701754,41;2482540157,16;3570727647,49;4697073302,10;3684309463,17;4157364238,39;4757906356,74;5139736511,98;5471934988,45;5481836161,68;4427830447,17;4464567912,39;5646878995,62;6612702098,75;7458269217,44
Samoa Americana;ASM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;559000000,00;571000000,00;567000000,00;614000000,00;634000000,00;621000000,00;754000000,00;556000000,00;537000000,00;559000000,00;643000000,00;641000000,00;679000000,00;658000000,00;635000000,00;616000000,00;632000000,00;
Antigua y Barbuda;ATG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;493925925,93;522962962,96;544037037,04;579296296,30;592851851,85;607259259,26;656111111,11;617851851,85;603111111,11;588074074,07;662814814,81;734222222,22;846222222,22;1014407407,41;1155666666,67;1180259259,26;875666666,67;841518518,52;794962962,96;870111111,11;893407407,41;924222222,22;852148148,15;923185185,19;970703703,70;1115037037,04;
