Country/Region;Country_Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Aruba;ABW;;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;0,00;0,00;0,00;-130502793,30;-184748603,35;36983240,22;17932960,89;73184357,54;5530726,26;-84134078,21;-197597765,36;-82178770,95;-469329608,94;130558659,22;263240223,46;-338659217,88;-163016759,78;97541899,44;198934471,10;-233138804,46;510558659,22;-16089385,47;12122905,03;-184022346,37;-485027932,96;317486033,52;-221951574,30;-241753769,27;39290644,13;-27970016,74;-79282922,03;-105189133,06;135859707,53
Afganistán;AFG;;;;;;;;;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;-47951776,13;-55860135,47;-192022479,47;-51036283,61;-65684511,34;-47774027,01;-42994416,21;-166983554,91;-79585268,75;-40273161,00;-80631404,07;2916492,93
Angola;AGO;;;;;;;;;;;;;;;;;;;;;;;;;;-278000000,00;-234000000,00;-119000000,00;-131000000,00;-200000000,00;335700000,00;-664500000,00;-287956000,00;-302100000,00;-170300000,00;-472427000,00;-180559000,00;-411660000,00;-1113970000,00;-2471460000,00;-878620000,00;-2145470000,00;-1643393000,00;-3481071780,00;-1413991820,00;1523198987,12;228299945,92;1805123607,46;890672963,88;-2198545055,42;4567640566,41;5116413413,76;2351103731,50;8041583616,63;-2770722210,79;-10813085379,27;452522618,92;8749300466,09;6461790580,61;1749052912,30
Albania;ALB;;;;;;;;;;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-20000000,00;-58000000,00;-53000000,00;-70000000,00;-90100000,00;-47500000,00;-45010000,00;-41200000,00;-143000000,00;-207300000,00;-135000000,00;-178036400,67;-327681210,17;-258417488,71;-314638316,80;-647365283,81;-881244175,08;-950761387,62;-1043511678,06;-846616681,62;-834803023,05;-1225674342,48;-1074294190,46;-910256725,97;-1037328978,04;-1128922245,43;-1208920405,83;-1161045288,12
Andorra;AND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
El mundo árabe;ARB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emiratos Árabes Unidos;ARE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentina;ARG;;;;;;;;;;;;;;;;;0,00;-145000000,00;-273000000,00;-265000000,00;-788000000,00;-944000000,00;-257000000,00;-183000000,00;-268000000,00;-919000000,00;-574000000,00;19000000,00;-1147000000,00;-1028000000,00;-1836000000,00;-2439000000,00;-3265063223,08;-2088015410,10;-2622087878,26;-4112274403,56;-5347787686,65;-5507454052,44;-4965180132,08;-22257413389,64;-9517286139,80;-2005260142,27;-2776050000,00;-878230000,00;-3448720000,00;-3954190000,00;-3098627065,63;-4968924800,78;-8334618540,65;-3305612521,14;-10367957946,04;-9351930944,68;-14269084338,77;-8931688999,43;-3144794108,86;-10883760783,93;-1473633407,03;-10361231244,26;-10070635995,98;-5123845949,28
Armenia;ARM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-800000,00;-8000000,00;-25320000,00;-17570000,00;-51940000,00;-220829000,00;-122034000,00;-104188500,00;-69868500,00;-110723793,82;-122243974,98;-247264860,11;-286684171,83;-443904925,63;-658779848,03;-913226598,54;-707800329,86;-501862328,99;-434138222,39;-473210732,06;-315829524,32;-377774323,99;-155376061,98;-263213931,74;-221878286,34;-247133657,73;-396632618,06
Samoa Americana;ASM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antigua y Barbuda;ATG;;;;;;;;;;;;;;;;;;-2200000,00;6900000,00;-8500000,00;-19600000,00;-22400000,00;-23000000,00;-5000000,00;-4400000,00;-15600000,00;-22600000,00;-38596296,30;-32951851,85;-43107407,41;-60607407,41;-54792592,59;-19648148,15;-15240740,74;-24788888,89;-31485185,19;-19351851,85;-22944444,44;-22774074,07;-51792533,33;-43115925,93;-98452222,22;-65865064,81;-166321143,70;-80366585,19;-220963374,07;-358820163,70;-338204733,33;-158783774,44;-80646652,59;-96679207,78;-65160596,30;-129367138,89;-134288999,63;-39930998,38;-99949131,34;-59449394,19;-159273705,76;-165042504,96;
Australia;AUS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-5000323944,06;-7824698719,20;-3782555745,94;-1106562011,24;-2767984260,37;-2630684042,12;-9222498128,51;441654791,35;-2007441432,30;-2932190620,72;-1898249310,44;-10797958704,97;2663165109,34;-7681971734,89;9612586773,25;-33123390586,61;-7620252751,32;-6470053660,88;-30020094088,54;-13272117217,36;-17218512630,09;-17142068311,18;-57304251200,41;-51785739222,19;-54767994546,37;-40630459095,92;-38633221206,36;-46077390957,78;-38686715708,63;-60526752843,92;-30900753813,89
Austria;AUT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193338846,21;5587390965,51;10174118816,07;21601880265,07;1258109965,99;7679700298,12;15161341820,84;13225677746,23;10579892540,23;-2587541536,36;5836278366,23;2023538039,88;-3410590994,58;1971094102,16;7410325506,17
Azerbaiyán;AZE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-330050000,00;-627277000,00;-1114834000,00;-1022947000,00;-510317000,00;-129177000,00;-226513000,00;-1066821000,00;-2351747000,00;-2351283000,00;-459151000,00;1289475000,00;5034521000,00;540824000,00;-147181000,00;-331155000,00;-932582000,00;-812407000,00;-1141550000,00;-2443393000,00;-838252000,00;-1926065000,00;-303106351,90;357879000,00;927801000,00
Burundi;BDI;;;;;;;;;;;;;;;;;;;;;;;;;;-538566,54;-1524028,63;-1367714,12;-1196623,81;-516806,72;-1249595,51;-864953,81;-600088,33;-337754,35;98946,22;-1381339,90;0,00;0,00;0,00;236531,00;-11683240,67;2288,18;0,00;-4618,43;-44690,71;-584701,69;-31593,78;-465213,15;-3251690,82;-348404,53;-780582,00;-3354999,18;-604919,65;-116560393,85;-81719783,80;-49470693,08;-18977,09;-306525,82;-983747,12;
Bélgica;BEL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-9199049496,13;4506779201,18;-9750819018,40;-1123653952,84;-8690515456,58;-13093604217,00;32864044191,59;-44015051904,43;-58665007469,26;-34518425846,16;29684338021,71;17271778736,28;14787640970,46;26844377439,27;-22983198267,73;31988685367,20;9073172600,01;-1017737778,11
Benin;BEN;;;;;;;;;;;;;;;2343120,33;-1889760,25;-2452390,83;-3126021,57;-753359,56;-3370602,00;-4316555,85;-2060858,23;541681,72;532716,07;462288,40;0,00;0,00;0,00;0,00;-62096190,07;-62376777,14;-120780806,62;-77571726,60;-1403787,18;-13648839,90;-13329502,12;-13595869,34;-13876006,49;-32748439,50;-37834294,57;-56293369,40;-41589426,46;-12215422,28;-44516493,50;-65271226,22;-53450076,84;-54978160,78;-261682357,86;-174531373,92;-103514099,04;-194907272,30;-101574683,48;-241215299,32;-301753783,16;-388459043,33;-117056378,00;-114409648,30;-168995331,70;-184303164,51;-191058357,41
Burkina Faso;BFA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-34360763,69;-34531231,13;-337376983,21;-104260080,00;-71363957,76;-38187589,15;-41472799,99;-256326266,36;-432096421,41;-287750664,96;-217796773,03;-340113213,37;7696130,29;-200701558,75;-146535904,03
