Country/Region;Country_Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Aruba;ABW;;;;;;;;;;;;;;;;;;;;;;;;;;;725779516,64;872808399,37;1067598256,74;1244594809,83;1369147939,78;1561128300,00;1715649100,00;1938533700,00;2229782000,00;2363650000,00;2470130000,00;2742180000,00;2980530000,00;3083810000,00;3353480000,00;3437000000,00;3475000000,00;3618000000,00;3989000000,00;4172000000,00;4340000000,00;4681000000,00;4914000000,00;4473000000,00;4279000000,00;4564000000,00;4537000000,00;4836000000,00;4950000000,00;5226000000,00;5309000000,00;5471000000,00;;
Afganistán;AFG;24200001500,00;24700000300,00;24600000500,00;33800003600,00;36000002000,00;45299998700,00;62999998500,00;75300003800,00;61800001500,00;63400001500,00;78699896800,00;82399903700,00;71799996400,00;77999996900,00;96999997400,00;106499997700,00;115000000500,00;132900003800,00;148500004900,00;161599995900,00;160599998500,00;172200001500,00;;;;;;;;;;;;;;;;;;;;;182162721300,00;221358563000,00;249791940700,00;308163225800,00;348048404600,00;485419056200,00;515046858600,00;611692107000,00;726231122700,00;850347275400,00;1028794220100,00;1138809791300,00;1176469485800,00;1222756495400,00;1222916881118,13;1285460326468,55;1327690394725,78;1469596303316,48
Angola;AGO;;;;;;;;;;;;;;;;;;;;;177,43;166,06;166,06;173,06;183,44;226,00;211,60;241,87;262,38;305,22;335,96;700,00;3800,00;29400,00;678100,00;15015300,00;835493000,00;1751785000,00;2555800000,00;17171000000,00;91666100000,00;197110800000,00;665385000000,00;1328940035000,00;1967571431000,00;3222352000000,00;4209762000000,00;5006335000000,00;6643353030000,00;5577340741700,00;7701651395700,00;10500941840100,00;12224949831600,00;13195003553700,00;14323859000000,00;13950290849400,00;16549565423600,00;20262296106300,00;25627742117300,00;32402258000000,00
Albania;ALB;;;;;;;;;;;;;;;;;;;;;14991970000,00;15514160000,00;15968780000,00;16142520000,00;15935960000,00;16276690000,00;16778610000,00;16646370000,00;16409890000,00;18024720000,00;16228430000,00;15833650000,00;48934320000,00;120976260000,00;177981840000,00;221803320000,00;334359130000,00;331324240000,00;384848410000,00;443593640000,00;501198990000,00;563448810000,00;610494270000,00;677737520000,00;737655550000,00;804163210000,00;872735100000,00;965527760000,00;1080676050000,00;1143937450000,00;1239645590000,00;1300624080000,00;1332810980000,00;1350052650000,00;1395304630000,00;1434306520000,00;1472479120000,00;1550645490000,00;1635714630000,00;1678430507746,23
Andorra;AND;;;;;;;;;;;33075100,00;37328600,00;43809600,00;52817200,00;64679900,00;75943900,00;91389700,00;115960200,00;141930500,00;166030700,00;192360700,00;215833200,00;248204100,00;282616900,00;318914300,00;354366200,00;405699900,00;453657900,00;505070300,00;565962200,00;630395100,00;691276900,00;744521400,00;770274000,00;819228800,00;883347000,00;931789600,00;1038925600,00;1088194100,00;1163747900,00;1551090000,00;1728690000,00;1865830000,00;2092490000,00;2331570000,00;2540880000,00;2755130000,00;2887770000,00;2789260000,00;2644840000,00;2602310000,00;2607220000,00;2481850000,00;2404540000,00;2462690000,00;2514510000,00;2616860000,00;2655760000,00;2725270000,00;2817520000,00
El mundo árabe;ARB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emiratos Árabes Unidos;ARE;;;;;;;;;;;;;;;;58313000000,00;75951000000,00;97082000000,00;92041000000,00;119147000000,00;161638000000,00;181103000000,00;171152000000,00;157131000000,00;153477000000,00;149056000000,00;124607000000,00;133569000000,00;133168000000,00;152218000000,00;186125000000,00;189248000000,00;199112000000,00;204200000000,00;217709000000,00;241345000000,00;270080000000,00;289418000000,00;277914000000,00;310126000000,00;383179000000,00;379412000000,00;403300000000,00;456662000000,00;542885000000,00;663317651100,00;815723000000,00;947197000000,00;1158580526300,00;931152675000,00;1064244000000,00;1287821000000,00;1375684000000,00;1432670000000,00;1480521000000,00;1315251000000,00;1311248000000,00;1416136223924,55;1550584747565,80;1546644979001,02
Argentina;ARG;0,13;0,17;0,21;0,25;0,36;0,48;0,60;0,80;0,93;1,09;1,20;1,66;2,78;4,73;6,52;19,40;102,34;283,90;708,61;1932,14;3840,40;7474,30;21852,50;109490,00;790920,00;5305000,00;9984100,00;23332300,00;111062000,00;3244039936,00;68921999360,00;180898005000,00;226638004200,00;236504973300,00;257440000000,00;258031750000,00;272149750000,00;292859000000,00;298948250000,00;283523000000,00;284203750000,00;268696750000,00;312580000000,00;375909500000,00;485115194700,00;582538172900,00;715904271700,00;896980174100,00;1149646090600,00;1247929268900,00;1661720925900,00;2179024103600,00;2637913848200,00;3348308488200,00;4579086425400,00;5954510895700,00;8228159556500,00;10660228494808,50;14542722148095,30;21447249859798,70
Armenia;ARM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50310000,00;79690000,00;310190000,00;4218410000,00;187065008100,00;522255990800,00;661209022500,00;804334993400,00;955384987600,00;987443691500,00;1031338300000,00;1175876800000,00;1362471700000,00;1624642700000,00;1907945400000,00;2242880900000,00;2656189800000,00;3149283400000,00;3568227600000,00;3141651000000,00;3460202700000,00;3777945600000,00;4266460500000,00;4555638200000,00;4828626300000,00;5043633200000,00;5067293500000,00;5564493300000,00;6017035200000,00;6569030800000,00
Samoa Americana;ASM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;514000000,00;527000000,00;512000000,00;503000000,00;496000000,00;520000000,00;563000000,00;678000000,00;576000000,00;574000000,00;644000000,00;641000000,00;642000000,00;661000000,00;652000000,00;602000000,00;636000000,00;
Antigua y Barbuda;ATG;;;;;;;;;;;;;;;;;;209241235,00;237274222,00;294515943,00;354863772,00;399172683,00;443797053,00;491789051,00;562606685,00;650494597,00;784188380,00;910372127,00;1076321865,00;1184745929,00;1240570000,00;1300610000,00;1348060000,00;1444970000,00;1591460000,00;1558660000,00;1711070000,00;1837670000,00;1965220000,00;2068740000,00;2231200000,00;2161300000,00;2198830000,00;2312270000,00;2483270000,00;2762000000,00;3125690000,00;3544450000,00;3699190000,00;3316490000,00;3101490000,00;3071620000,00;3239860000,00;3189910000,00;3374280000,00;3609070000,00;3878780000,00;3963540000,00;4334450000,00;4487300000,00
Australia;AUS;16588000000,00;17548000000,00;17762000000,00;19204000000,00;21219000000,00;23159000000,00;24348000000,00;27142000000,00;29167000000,00;32706000000,00;36851000000,00;40314000000,00;44484000000,00;49747000000,00;60272000000,00;71159000000,00;83234000000,00;96074000000,00;104919000000,00;118587000000,00;134424000000,00;152142000000,00;175614000000,00;189157000000,00;213378000000,00;234973000000,00;260240000000,00;285710000000,00;323889000000,00;367536000000,00;403860000000,00;414485000000,00;422447000000,00;443397000000,00;465760000000,00;494567000000,00;527599000000,00;555291000000,00;588097000000,00;620141000000,00;661159000000,00;705066000000,00;754253000000,00;800960000000,00;861039000000,00;922371000000,00;996430000000,00;1086593000000,00;1177313000000,00;1260145000000,00;1301211000000,00;1416622000000,00;1499458000000,00;1536307000000,00;1598530000000,00;1624601000000,00;1660714000000,00;1762371000000,00;1848560000000,00;1952680000000,00
Austria;AUT;12456853504,00;13815504896,00;14655121408,00;15822951424,00;17326626816,00;18883733504,00;20572207104,00;21879263232,00;23506483200,00;25664612352,00;29047294000,00;32427439000,00;37057943000,00;41997559000,00;47801145000,00;50702938000,00;56006921000,00;61911611000,00;65483749000,00;71830084000,00;77151790000,00;82215016000,00;88359974000,00;94146775000,00;98857490000,00;104329954000,00;109880625000,00;114085965000,00;119645441000,00;127981232000,00;137548696000,00;147464360000,00;155789392000,00;160927978000,00;168954605000,00;176608750000,00;182540880000,00;188723760000,00;196346610000,00;203850580000,00;213606480000,00;220525080000,00;226735220000,00;231862460000,00;242348260000,00;254075030000,00;267824450000,00;283977970000,00;293761910000,00;288044020000,00;295896640000,00;310128660000,00;318653040000,00;323910200000,00;333146070000,00;344269230000,00;357607950000,00;369341260000,00;385361890000,00;397575280000,00
Azerbaiyán;AZE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;293200,00;534400,00;4820100,00;31400000,00;374700000,00;2133800000,00;2732600000,00;3158300000,00;3440600000,00;3775100000,00;4718100000,00;5315600000,00;6062500000,00;7146500000,00;8530200000,00;12522500000,00;18746200000,00;28360500000,00;40137200000,00;35601500000,00;42465000000,00;52082000000,00;54743700000,00;58182000000,00;59014100000,00;54380000000,00;60425200000,00;70337800000,00;80092000000,00;81681000000,00
Burundi;BDI;9799999500,00;10149999600,00;10675000300,00;11637499900,00;13037500400,00;13415200000,00;14476400000,00;15601000000,00;16030000000,00;16643000000,00;21239100000,00;22123700000,00;21595400000,00;24355100000,00;27189500000,00;33152700000,00;38675600000,00;49278200000,00;54920300000,00;70424700000,00;82775400000,00;87214200000,00;91190000000,00;100658000000,00;118171000000,00;138791000000,00;137201000000,00;139804000000,00;151964000000,00;176743000000,00;193878000000,00;211898000000,00;225599995900,00;227899998200,00;233721004000,00;249864994800,00;263100000000,00;342800000000,00;400200000000,00;455400000000,00;627333193100,00;728046498300,00;768235261400,00;849482572100,00;1007615939900,00;1208244000000,00;1309900000000,00;1467231000000,00;1911139000000,00;2191509000000,00;2501047000000,00;2819534000000,00;3365810000000,00;3812500000000,00;4184999000000,00;4879793000000,00;4897101000000,00;5485068000000,00;5414485000000,00;5559586343900,00
Bélgica;BEL;14450609152,00;15369578496,00;16440317952,00;17674829824,00;19782035456,00;21531359232,00;23118405632,00;24779487232,00;26495297536,00;29388689408,00;33102330000,00;36266123000,00;40599196000,00;46130061000,00;54105540000,00;59878805000,00;68055986000,00;73603256000,00;79043163000,00;84538074000,00;91938570000,00;96393509000,00;104307846000,00;110506023000,00;119389867000,00;126978258000,00;132908805000,00;138264521000,00;147935633000,00;160411128000,00;170096820000,00;178197561000,00;187120977000,00;192721412000,00;203106897000,00;210489100000,00;214287100000,00;224101500000,00;232623800000,00;242307600000,00;256376400000,00;264334900000,00;273255900000,00;281200200000,00;296819700000,00;310037600000,00;325151500000,00;343618900000,00;351743100000,00;346472800000,00;363140100000,00;375967800000,00;386174700000,00;392880000000,00;403003300000,00;416701400000,00;430085300000,00;444991100000,00;460419400000,00;476203300000,00
