year,pib_value,gasto_value,inversion_value,exportacion_value,importacion_value
1976,9087566000.0,7354173296.51,19900000.0,1457947881.9,1634570547.74
1977,11021061000.0,8528523232.9,34500000.0,1797611703.15,2000105770.7
1978,11916787000.0,9207582746.87,48600000.0,1756420957.95,2213274955.48
1979,14168371000.0,10982660648.21,63400000.0,2538499855.29,2575840755.02
1980,17872943000.0,13474450112.41,70000000.0,3066326874.45,3196675358.3
1981,21800312000.0,16326063061.59,60000000.0,3188264326.39,3336486378.11
1982,19920300000.0,16209975413.81,40000000.0,2921017218.81,3538835376.13
1983,17144261000.0,13566028011.19,50000000.0,2668860344.89,2627143347.44
1984,16904408000.0,13449445126.02,50000000.0,2938789738.25,2652200358.76
1985,17140874000.0,13273906980.05,62000000.0,3375176924.81,2750018248.75
1986,15306803000.0,11988363742.04,81000000.0,2393509352.64,2677096292.88
1987,13938747000.0,11378211259.35,123000000.0,2142867204.82,3118845049.56
1988,13045630000.0,10251015926.99,155000000.0,2480622111.02,3087613078.21
1989,13884170000.0,10759414633.0,160000000.0,2817483588.93,3449083352.6
1990,15231973000.0,11428569399.03,126000000.0,3469125960.22,3326816742.87
1991,16980041000.0,12877652826.41,160000000.0,4021964982.49,3656282141.07
1992,18085191000.0,13366034017.01,178000000.0,4366816408.2,3740586293.15
1993,18929248000.0,15533934967.48,473720000.0,3794531265.63,4381543771.89
1994,22697319000.0,18605633816.91,576330000.0,4605277638.82,5336068034.02
1995,24420668000.0,20404561280.64,452480000.0,5201004502.25,6016443221.61
1996,25213780000.0,20466505252.63,499680000.0,5618746373.19,5535280640.32
1997,28147972000.0,22991046523.26,723950000.0,6064677338.67,6613086543.27
1998,27967906000.0,23397216608.3,869980000.0,5006507253.63,7136267133.57
1999,19635450000.0,15091047523.76,648410000.0,5181939969.98,4483779889.94
2000,18318601000.0,13549882941.47,23439367.91,5888259129.56,5010291145.57
2001,24468324000.0,20051882000.0,538568575.17,5682217000.0,6734248000.0
2002,28548945000.0,23606958000.0,783261009.55,6135846000.0,7960638000.0
2003,32432858000.0,26742603000.0,871513414.02,7329307000.0,7992504000.0
2004,36591661000.0,29770074000.0,836939593.9,8984844000.0,9554409000.0
2005,41507085000.0,32884561000.0,493413835.55,11463499000.0,11821905000.0
2006,46802044000.0,35842793000.0,271428852.53,14196499000.0,13748900000.0
2007,51007777000.0,38775487000.0,193872526.93,16287685000.0,15636623000.0
2008,61762635000.0,45298051000.0,1057404020.15,21100364000.0,20933400000.0
2009,62519686000.0,47494560000.0,308629890.11,15785663000.0,16790125000.0
2010,69555367000.0,53193172000.0,165893320.36,19402439000.0,22541700000.0
2011,79276664000.0,58748321000.0,646084358.69,24671849000.0,26453861000.0
2012,87924544000.0,64735024000.0,567417300.86,26522271000.0,27772113000.0
2013,95129659000.0,70265165000.0,727081206.26,27243506000.0,29459627000.0
2014,101726331000.0,74555251000.0,772389946.09,28536122000.0,30168281000.0
2015,99290381000.0,75319038000.0,1322701337.31,21107369000.0,23815449000.0
2016,99937696000.0,74486286000.0,756028868.12,19492639000.0,19004701000.0
2017,104295862000.0,77675205000.0,624503412.26,21727767000.0,22516333000.0
2018,107562008000.0,80031510000.0,1388254145.24,24314052000.0,25553987000.0
2019,107435665000.0,80582081000.0,948594269.51,25129245000.0,25086092000.0
