abstract,url
"
Correction to: Trials 22, 100 (2021)
",https://trialsjournal.biomedcentral.com/articles/10.1186/s13063-021-05109-8
"
Correction to: Trials 21:604 (2020)
",https://trialsjournal.biomedcentral.com/articles/10.1186/s13063-020-04578-7
"Recently, the novel coronavirus disease 2019 (COVID-19) started spreading in Japan. Therefore, the number of patients with severe COVID-19 requiring extracorporeal membranous oxygenation (ECMO) is expected to increase. A working group has been formed to provide telephone consultation services for cases with severe respiratory failure caused by COVID-19 in Japan. During the first 13 days of the service, there were 12 consultations. For each consultation, we advised the patient on the initiation of ECMO and arranged transportation for patients with ECMO. Based on experience from the H1N1 influenza pandemic, transporting patients to experienced facilities is essential to obtain better outcomes.",https://jintensivecare.biomedcentral.com/articles/10.1186/s40560-020-00440-9
"
Correction to: Glob Health Res Policy (2020) 5: 30
",https://ghrp.biomedcentral.com/articles/10.1186/s41256-020-00160-5
"
Correction to: Glob Health Res Policy (2020) 5:54
",https://ghrp.biomedcentral.com/articles/10.1186/s41256-020-00184-x
"
Correction to: Trop Med Health 49, 56 (2021)
",https://tropmedhealth.biomedcentral.com/articles/10.1186/s41182-021-00352-w
"
Correction to: Trop Med Health 49, 38 (2021)
",https://tropmedhealth.biomedcentral.com/articles/10.1186/s41182-021-00350-y
"
Correction to: Trop Med Health 48, 21 (2020)
",https://tropmedhealth.biomedcentral.com/articles/10.1186/s41182-020-00218-7
"
Correction to: Trop Med Health 48, 51 (2020)
",https://tropmedhealth.biomedcentral.com/articles/10.1186/s41182-020-00244-5
"
Correction to: Trop Med Health 49, 48 (2021)
",https://tropmedhealth.biomedcentral.com/articles/10.1186/s41182-021-00346-8
"
Correction to: BMC Fam Pract 22:66, (2021)
",https://bmcfampract.biomedcentral.com/articles/10.1186/s12875-021-01458-0
"
Correction to: J Pharm Policy Pract (2020) 13:18
",https://joppp.biomedcentral.com/articles/10.1186/s40545-020-00231-5
"Following the publication of the original article [1], the authors notified us of a few errors, reflected below:",https://joppp.biomedcentral.com/articles/10.1186/s40545-021-00324-9
"
Correction to: Thromb J (2020) 18:34
",https://thrombosisjournal.biomedcentral.com/articles/10.1186/s12959-020-00254-7
"
Correction to: Patient Saf Surg 15, 20 (2021)
",https://pssjournal.biomedcentral.com/articles/10.1186/s13037-021-00296-4
"
Letter to the editor
",https://respiratory-research.biomedcentral.com/articles/10.1186/s12931-020-01530-w
"
Correction to: J Intensive Care (2020) 8:29
",https://jintensivecare.biomedcentral.com/articles/10.1186/s40560-020-00454-3
"Following publication of the original article [1], the authors identified errors in affiliation and in the  conclusion section. The following corrections are presented with this erratum:",https://capmh.biomedcentral.com/articles/10.1186/s13034-021-00366-6
"
Correction to: Isr J Health Policy Res 10, 12 (2021)
",https://ijhpr.biomedcentral.com/articles/10.1186/s13584-021-00456-y
"In the original publication of this article [1], the author noticed that the title of Table 1 is incorrect and the format of Table 1 also has problem, the correct Table 1 is given below. The original publication has been corrected.",https://ascpjournal.biomedcentral.com/articles/10.1186/s13722-021-00232-y
"Following publication of the original article [1], two errors were found in the article:",https://idpjournal.biomedcentral.com/articles/10.1186/s40249-021-00868-7
"Healthcare workers (HCWs) have been over-represented among people infected with Severe Acute Respiratory Syndrome-Coronavirus-2 (SARS-CoV-2). In France, between March 1 and November 2, 2020, SARS-CoV-2 infection was diagnosed in more than 44,000 HCWs and killed 17 [1]. In the USA, HCWs accounted for around 20% of the confirmed cases of SARS-CoV-2 infections by April 2020 [2]. Protection of HCWs rapidly became a crucial challenge during the COVID-19 pandemics [3]. Pre- and post-exposure chemoprophylaxis was considered to be used in addition to personal protective equipment. More than 50 clinical trials aiming to assess chloroquine or hydroxychloroquine (HCQ) in HCWs and/or household contacts of COVID-19 cases have been registered worldwide with ClinicalTrials.gov. In France in April 2020, a multi-center randomized, double-blind, placebo-controlled trial to evaluate the efficacy of a 2-month pre-exposure prophylaxis with HCQ in 600 HCWs exposed to COVID-19 patients was started [4]. This trial was funded by the French hospital program for clinical research (PHRC) and sponsored by the University Hospital of Saint-Etienne in collaboration with Institut Pasteur in Paris. For each participant, six visits at the investigation center, one weekly electrocardiogram, 5 blood samplings, and 4 nasopharyngeal swabs for SARS-CoV-2 RT-PCR were scheduled. Before the trial started, we conducted an anonymous online survey in ten of the investigation centers to evaluate the acceptability of the trial among HCWs, whether they worked in a hospital, an ambulatory setting, or a long-term care facility. Eight hundred and seventy-one HCWs completed the survey. Among respondents, 695 (79.8%) reported they were interested in participating in the trial. Intention to participate was not influenced by age or working place. Among the 695 potential volunteers, 430 (61.9%) were under 45 years of age and only 126 (18.1%) reported a significant comorbidity. The main reasons for declining participation in the study were the following: (1) fears about HCQ side effects in 121 of the 176 decliners (68.8%), (2) the perception that the individual risk of severe COVID-19 was low in 36 (20.5%), (3) the constraints resulting from the number of study visits in 29 (16.5%), and (4) the burden of nasopharyngeal swabs for SARS-CoV-2 RT-PCR in 25 (14.2%). Six hundred and ninety-five respondents reported being interested in participating in the chemoprophylaxis trial, and 117 were actually enrolled by May 27, 2020. In the first center where the trial was started, 342 HCWs reported being interested in participating in the trial and 91 were enrolled between April 14 and May 27 2020, when the French Medicine Agency put all trials evaluating HCQ on hold.",https://trialsjournal.biomedcentral.com/articles/10.1186/s13063-021-05329-y
