abstract,url
"Severe COVID-19 is characterized by extensive pulmonary complications, to which host immune responses are believed to play a role. As the major arm of innate immunity, neutrophils are one of the first cells recruited to the site of infection where their excessive activation can contribute to lung pathology. Low-density granulocytes (LDGs) are circulating neutrophils, whose numbers increase in some autoimmune diseases and cancer, but are poorly characterized in acute viral infections. Using flow cytometry, we detected a significant increase of LDGs in the blood of acute COVID-19 patients, compared to healthy controls. Based on their surface marker expression, COVID-19-related LDGs exhibit four different populations, which display distinctive stages of granulocytic development and most likely reflect emergency myelopoiesis. Moreover, COVID-19 LDGs show a link with an elevated recruitment and activation of neutrophils. Functional assays demonstrated the immunosuppressive capacities of these cells, which might contribute to impaired lymphocyte responses during acute disease. Taken together, our data confirms a significant granulocyte activation during COVID-19 and suggests that granulocytes of lower density play a role in disease progression.",https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1009721
"Coronavirus Disease 2019 (COVID-19), caused by a new strain of coronavirus called Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2), was declared a pandemic by WHO on March 11, 2020. Soon after its emergence in late December 2019, it was noticed that diabetic individuals were at an increased risk of COVID-19–associated complications, ICU admissions, and mortality. Maintaining proper blood glucose levels using insulin and/or other oral antidiabetic drugs (such as Metformin) reduced the detrimental effects of COVID-19. Interestingly, in diabetic COVID-19 patients, while insulin administration was associated with adverse outcomes, Metformin treatment was correlated with a significant reduction in disease severity and mortality rates among affected individuals. Metformin was extensively studied for its antioxidant, anti-inflammatory, immunomodulatory, and antiviral capabilities that would explain its ability to confer cardiopulmonary and vascular protection in COVID-19. Here, we describe the various possible molecular mechanisms that contribute to Metformin therapy’s beneficial effects and lay out the scientific basis of repurposing Metformin for use in COVID-19 patients.",https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1009634
"This Pearl article recounts the story of a US corporation, Lennar, the nation’s leading homebuilder, an essential function in the US (not allowed to lock down), when faced with the coronavirus disease 2019 (COVID-19) pandemic at the end of February 2020. The culture of the company, which allowed it to proceed safely, is one of cohesion, trust, teamwork, and respect for fellow humans. Theirs is a culture in which the safety, wellness, and health of the associates (employees) and the communities they serve is the number one priority. All associates wear a name badge with first name only, and all name badges share the same family name, Lennar. At Lennar, individual success means nothing, and collective success means everything. This is the story of how Lennar took control of the COVID-19 pandemic, metamorphosed itself into an even stronger organization, better suited to deal with COVID-19, and more importantly, optimally suited for the 21st century. The lessons learned not only were instrumental to Lennar but could also apply to any company eager to reopen their business.",https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008756
"The current novel coronavirus disease 2019 (COVID-19) pandemic is revealing profound differences between men and women in disease outcomes worldwide. In the United States, there has been inconsistent reporting and analyses of male–female differences in COVID-19 cases, hospitalizations, and deaths. We seek to raise awareness about the male-biased severe outcomes from COVID-19, highlighting the mechanistic differences including in the expression and activity of angiotensin-converting enzyme 2 (ACE2) as well as in antiviral immunity. We also highlight how sex differences in comorbidities, which can be associated with both age and race, impact male-biased outcomes from COVID-19.",https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008570
"The host response to SARS-CoV-2 infection provide insights into both viral pathogenesis and patient management. The host-encoded microRNA (miRNA) response to SARS-CoV-2 infection, however, remains poorly defined. Here we profiled circulating miRNAs from ten COVID-19 patients sampled longitudinally and ten age and gender matched healthy donors. We observed 55 miRNAs that were altered in COVID-19 patients during early-stage disease, with the inflammatory miR-31-5p the most strongly upregulated. Supervised machine learning analysis revealed that a three-miRNA signature (miR-423-5p, miR-23a-3p and miR-195-5p) independently classified COVID-19 cases with an accuracy of 99.9%. In a ferret COVID-19 model, the three-miRNA signature again detected SARS-CoV-2 infection with 99.7% accuracy, and distinguished SARS-CoV-2 infection from influenza A (H1N1) infection and healthy controls with 95% accuracy. Distinct miRNA profiles were also observed in COVID-19 patients requiring oxygenation. This study demonstrates that SARS-CoV-2 infection induces a robust host miRNA response that could improve COVID-19 detection and patient management.",https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1009759
"The COVID-19 pandemic has caused more than 575,000 deaths worldwide as of mid-July 2020 and still continues globally unabated. Immune dysfunction and cytokine storm complicate the disease, which in turn leads to the question of whether stimulation or suppression of the immune system would curb the disease. Given the varied antiviral and regulatory functions of natural killer (NK) cells, they could be potent and powerful immune allies in this global fight against COVID-19. Unfortunately, there is somewhat limited knowledge of the role of NK cells in SARS-CoV-2 infections and even in the related SARS-CoV-1 and MERS-CoV infections. Several NK cell therapeutic options already exist in the treatment of tumor and other viral diseases and could be repurposed against COVID-19. In this review, we describe the current understanding and potential roles of NK cells and other Fc receptor (FcR) effector cells in SARS-CoV-2 infection, advantages of using animals to model COVID-19, and NK cell–based therapeutics that are being investigated for COVID-19 therapy.",https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008820
"COVID-19, caused by SARS-CoV-2, is significantly more severe in adults than in children. The biological reasons for this difference remain to be elucidated. We have compared the most recent virological and immunological data related to COVID-19 between adults and children and contrasted this with earlier data from severe acute respiratory syndrome (SARS) caused by the related SARS-CoV-1 in 2003. Based on these available data, a number of hypotheses are proposed to explain the difference in COVID-19 clinical outcomes between adults and children. NF-kB may be a key factor that could explain the severe clinical manifestations of COVID-19 in adults as well as rare complications associated with paediatric inflammatory multisystem syndrome temporally associated with SARS-CoV-2 (PIMS-TS) in paediatric COVID-19 patients.",https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008798
"The current pandemic emergence of novel coronavirus disease (COVID-19) poses a relevant threat to global health. SARS-CoV-2 infection is characterized by a wide range of clinical manifestations, ranging from absence of symptoms to severe forms that need intensive care treatment. Here, plasma-EDTA samples of 30 patients compared with age- and sex-matched controls were analyzed via untargeted nuclear magnetic resonance (NMR)-based metabolomics and lipidomics. With the same approach, the effect of tocilizumab administration was evaluated in a subset of patients. Despite the heterogeneity of the clinical symptoms, COVID-19 patients are characterized by common plasma metabolomic and lipidomic signatures (91.7% and 87.5% accuracy, respectively, when compared to controls). Tocilizumab treatment resulted in at least partial reversion of the metabolic alterations due to SARS-CoV-2 infection. In conclusion, NMR-based metabolomic and lipidomic profiling provides novel insights into the pathophysiological mechanism of human response to SARS-CoV-2 infection and to monitor treatment outcomes.",https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1009243
"The recent outbreak of human infections caused by SARS-CoV-2, the third zoonotic coronavirus has raised great public health concern globally. Rapid and accurate diagnosis of this novel pathogen posts great challenges not only clinically but also technologically. Metagenomic next-generation sequencing (mNGS) and reverse-transcription PCR (RT-PCR) have been the most commonly used molecular methodologies. However, each has their own limitations. In this study, we developed an isothermal, CRISPR-based diagnostic for COVID-19 with near single-copy sensitivity. The diagnostic performances of all three technology platforms were also compared. Our study aimed to provide more insights into the molecular detection of SARS-CoV-2, and also to present a novel diagnostic option for this new emerging virus.",https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008705
"Coronavirus Disease 2019 (COVID-19) pandemic remains a major public health threat in most countries. The causative severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) virus can lead to acute respiratory distress syndrome and result in mortality in COVID-19 patients. Vitamin D is an immunomodulator hormone with established effectiveness against various upper respiratory infections. Vitamin D can stall hyper-inflammatory responses and expedite healing process of the affected areas, primarily in the lung tissue. Thus, there are ecological and mechanistic reasons to promote exploration of vitamin D action in COVID-19 patients. As no curative drugs are available currently for COVID-19, we feel that the potential of vitamin D to alter the course of disease severity needs to be investigated. Clinical studies may be undertaken to address the value of vitamin D supplementation in deficient, high-risk COVID-19 patients.",https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1008874
