Fecha,abstract,reply,retweet,like
2021-08-03T02:33:58.000Z,Aaron Boone said tonight that Gerrit Cole tested positive for COVID and is not pitching tomorrow.,68,324,696
2021-08-03T02:32:05.000Z,"Two airline passengers entering Canada from the U.S. have been fined nearly $16,000 each for submitting fake vaccination cards and Covid-19 test results, officials say.2 travelers who used fake vaccine cards to enter Canada from U.S. fined nearly $16,000
The airline passengers also submitted fraudulent test results, Canadian officials said.
nbcnews.com",36,92,278
2021-08-03T02:34:12.000Z,"Cole has tested positive for Covid, Boone said.",137,314,508
2021-08-03T02:58:10.000Z,"As Florida's COVID crisis intensifies, Gov. DeSantis' response falters

As case numbers and hospitalizations in Florida reach new heights, Ron DeSantis' plan largely consists of wishing Floridians luck.As Florida's COVID crisis intensifies, DeSantis' response falters
As case numbers and hospitalizations in Florida reach new heights, Ron DeSantis' plan largely consists of wishing Floridians luck.
msnbc.com",19,29,79
2021-08-03T03:02:45.000Z,"Top RNC official in Florida spreads Covid-19 conspiracies, calling vaccines the 'mark of the beast'Top RNC official in Florida spreads Covid-19 conspiracies, calling vaccines the 'mark of the beast'
Amid recent surging coronavirus cases in Florida, a top Republican National Committee official in the state has spread anti-vaccine rhetoric and misinformation, comparing the Biden administration's...
cnn.com",19,24,41
2021-08-03T02:51:10.000Z,Resist Covid-1984,1,15,43
2021-08-03T03:00:34.000Z,"The judiciary is easily granting bail to convicted politicians and actors, but on the other hand is denying bail to Sant Shri Asharamji Bapu, who is battling post-Covid complications and other health problems.
Why this inequality??
#नेता_को_बेल_संत_को_जेल",,45,44
2021-08-03T02:37:16.000Z,"For now, the pace of global vaccination is the most powerful determinant of our near-term future with COVID. “The single best thing we can do is to vaccinate the world as fast as possible,” a virologist said.Coexisting with the Coronavirus
COVID-19 is likely to become an endemic disease. How will our immune systems resist it?
newyorker.com",13,36,110
2021-08-03T03:05:26.000Z,"#नेता_को_बेल_संत_को_जेल
The judiciary is easily granting bail to convicted politicians and actors, but on the other hand is denying bail to Sant Shri Asharamji Bapu, who is battling post-Covid complications and other health problems.
Why this inequality??
#नेता_को_बेल_संत_को_जेल",,3,3
2021-08-03T03:05:48.000Z,"Unconstitutional punishment laid to Sant Shri Asharamji Bapu. Appealed in the High Court long time has passed no judgement only date's. Affected by Covid, post Covid with 11other diseases, applied for Bail or Parole for Ayurvedic treatment rejected #नेता_को_बेल_संत_को_जेल",,4,4
2021-08-03T02:24:54.000Z,"1/2 Because we rarely get perspective from anyone anymore. Here are the current facts about COVID…politics aside. CDC Numbers
99.99% fully vaccinated haven’t been hospitalized or died. 
Overall Covid-19 vaccines are very effective at preventing serious illness and death",35,76,223
2021-08-03T03:05:25.000Z,"Yanks Lose: Gio to the IL, Cole Got Covid! Instant Reaction...

WATCH HERE:
https://youtu.be/qmogtazc_ag",,1,6
2021-08-03T02:53:55.000Z,"LOOK: Expected COVID-19 vaccine deliveries for August. | via 
@gaeacabico",1,6,29
2021-08-03T02:49:07.000Z,"Shelley had no issues during the COVID toilet paper shortage.

#SoFreakinCheap",,1,15
2021-08-03T03:06:31.000Z,"NSW Covid update: 199 new cases as Berejiklian targets 6m vaccinations by end of August – videoNSW Covid update: 199 new cases as Berejiklian targets 6m vaccinations by end of August – video
 NSW chief health officer Kerry Chant says it is ‘tragic’ that so many older people are still completely unvaccinated
theguardian.com",,,5
2021-08-03T03:05:22.000Z,"31 yo unvaccinated man hospitalized from Covid with a wife & 6 year old son says: ""I was strongly against getting the vaccine...because we're a strong conservative family."" 
Don't conservative values include a moral obligation to take care of your family?As COVID cases skyrocket, Missouri health workers battle misinformation among the unvaccinated
Hospitalizations in the state have jumped 168% in the last two months, and behind those numbers is both a resistance to the COVID vaccine and a lot of people with regrets.
cbsnews.com",2,2,18
2021-08-03T02:34:44.000Z,"Gerrit Cole tests positive for COVID-19.Gerrit Cole News
Gerrit Cole player stats, injury updates, game log, and recent news for daily fantasy sports.
fantasylabs.com",18,67,49
2021-08-03T02:57:11.000Z,"Replying to 
@erinbibai have been really frustrated with the ""COVID barely affects young people (so we can send them back to school/they don't need to be vaccinated)"" line throughout the pandemic has been really frustrating bc I've been having regular shortness of breath for the past 9 months. i'm 18",3,7,35
2021-08-03T03:03:14.000Z,"#Odisha records 69 fresh #COVID19 fatalities, death toll rises to 6102, reveals State Covid Dashboard",,3,29
2021-08-03T03:08:21.000Z,"Watching the PM in a press conference about “the plan” out of COVID… so over the propaganda being spilled from his mouth, exhausting to watch #auspol #COVID19",,,
2021-08-03T03:03:00.000Z,"RT 
@Joco_the_Myth
 “It’s false. We test every person who comes into the hospital, if they test positive they are called covid patients even if the test is flawed or they were not even admitted for covid symptoms but for a plethora of other reasons.”",3,5,45
2021-08-03T02:49:29.000Z,"[ARTICLE] 210803 ©soompi

YG Entertainment Shares #TREASURE's #Doyoung And #SoJungHwan Have Fully Recovered From COVID-19

: https://soompi.com/article/1481999wpp/yg-entertainment-shares-treasures-doyoung-and-so-jung-hwan-have-fully-recovered-from-covid-19… 

#트레저 #トレジャー 
@treasuremembersYG Entertainment Shares TREASURE’s Doyoung And So Jung Hwan Have Fully Recovered From COVID-19
TREASURE’s Doyoung and So Jung Hwan have completely recovered from COVID-19. Doyoung tested positive for the virus on July 13, and fellow member So Jung Hwan also tested positive on July 16 after...
soompi.com",,25,43
2021-08-03T03:08:24.000Z,"""We have to pay attention to it in a very different way and set up a long-term strategy that will allow us to adapt to the new COVID world,” said Dr. Brian Conway, medical director of Vancouver Infectious Diseases Centre.COVID-19: What does ‘endemic’ mean and are we there yet? | Globalnews.ca
Dr. Brian Conway, medical director of Vancouver Infectious Diseases Centre, said an endemic infection is one that still needs to be dealt with on an ongoing basis.
globalnews.ca",,,
2021-08-03T02:48:33.000Z,"Replying to 
@GeorgeMonks11My husband is a doc here in OKC, and we had an acquaintance life-flighted to Denver because there were no ICU beds anywhere.  Folks don’t understand that it’s not just COVID that this affects…",1,10,34
