uuid,abstract,n_tokens_abstract,tokens_abstract,language
7e694662e1384f2988f44dfded2c7db1,"Healthcare workers (HCWs) have been over-represented among people infected with Severe Acute Respiratory Syndrome-Coronavirus-2 (SARS-CoV-2). In France, between March 1 and November 2, 2020, SARS-CoV-2 infection was diagnosed in more than 44,000 HCWs and killed 17 [1]. In the USA, HCWs accounted for around 20% of the confirmed cases of SARS-CoV-2 infections by April 2020 [2]. Protection of HCWs rapidly became a crucial challenge during the COVID-19 pandemics [3]. Pre- and post-exposure chemoprophylaxis was considered to be used in addition to personal protective equipment. More than 50 clinical trials aiming to assess chloroquine or hydroxychloroquine (HCQ) in HCWs and/or household contacts of COVID-19 cases have been registered worldwide with ClinicalTrials.gov. In France in April 2020, a multi-center randomized, double-blind, placebo-controlled trial to evaluate the efficacy of a 2-month pre-exposure prophylaxis with HCQ in 600 HCWs exposed to COVID-19 patients was started [4]. This trial was funded by the French hospital program for clinical research (PHRC) and sponsored by the University Hospital of Saint-Etienne in collaboration with Institut Pasteur in Paris. For each participant, six visits at the investigation center, one weekly electrocardiogram, 5 blood samplings, and 4 nasopharyngeal swabs for SARS-CoV-2 RT-PCR were scheduled. Before the trial started, we conducted an anonymous online survey in ten of the investigation centers to evaluate the acceptability of the trial among HCWs, whether they worked in a hospital, an ambulatory setting, or a long-term care facility. Eight hundred and seventy-one HCWs completed the survey. Among respondents, 695 (79.8%) reported they were interested in participating in the trial. Intention to participate was not influenced by age or working place. Among the 695 potential volunteers, 430 (61.9%) were under 45 years of age and only 126 (18.1%) reported a significant comorbidity. The main reasons for declining participation in the study were the following: (1) fears about HCQ side effects in 121 of the 176 decliners (68.8%), (2) the perception that the individual risk of severe COVID-19 was low in 36 (20.5%), (3) the constraints resulting from the number of study visits in 29 (16.5%), and (4) the burden of nasopharyngeal swabs for SARS-CoV-2 RT-PCR in 25 (14.2%). Six hundred and ninety-five respondents reported being interested in participating in the chemoprophylaxis trial, and 117 were actually enrolled by May 27, 2020. In the first center where the trial was started, 342 HCWs reported being interested in participating in the trial and 91 were enrolled between April 14 and May 27 2020, when the French Medicine Agency put all trials evaluating HCQ on hold.",235,"['healthcare', 'workers', 'hcws', 'represented', 'among', 'people', 'infected', 'severe', 'acute', 'respiratory', 'syndrome', 'coronavirus', 'sars', 'cov', 'france', 'march', 'november', 'sars', 'cov', 'infection', 'diagnosed', 'hcws', 'killed', 'usa', 'hcws', 'accounted', 'around', 'confirmed', 'cases', 'sars', 'cov', 'infections', 'april', 'protection', 'hcws', 'rapidly', 'became', 'crucial', 'challenge', 'covid', 'pandemics', 'pre', 'post', 'exposure', 'chemoprophylaxis', 'considered', 'used', 'addition', 'personal', 'protective', 'equipment', 'clinical', 'trials', 'aiming', 'assess', 'chloroquine', 'hydroxychloroquine', 'hcq', 'hcws', 'household', 'contacts', 'covid', 'cases', 'registered', 'worldwide', 'clinicaltrials', 'gov', 'france', 'april', 'multi', 'center', 'randomized', 'double', 'blind', 'placebo', 'controlled', 'trial', 'evaluate', 'efficacy', 'month', 'pre', 'exposure', 'prophylaxis', 'hcq', 'hcws', 'exposed', 'covid', 'patients', 'started', 'trial', 'funded', 'french', 'hospital', 'program', 'clinical', 'research', 'phrc', 'sponsored', 'university', 'hospital', 'saint', 'etienne', 'collaboration', 'institut', 'pasteur', 'paris', 'participant', 'six', 'visits', 'investigation', 'center', 'one', 'weekly', 'electrocardiogram', 'blood', 'samplings', 'nasopharyngeal', 'swabs', 'sars', 'cov', 'rt', 'pcr', 'scheduled', 'trial', 'started', 'conducted', 'anonymous', 'online', 'survey', 'ten', 'investigation', 'centers', 'evaluate', 'acceptability', 'trial', 'among', 'hcws', 'whether', 'worked', 'hospital', 'ambulatory', 'setting', 'long', 'term', 'care', 'facility', 'eight', 'hundred', 'seventy', 'one', 'hcws', 'completed', 'survey', 'among', 'respondents', 'reported', 'interested', 'participating', 'trial', 'intention', 'participate', 'influenced', 'age', 'working', 'place', 'among', 'potential', 'volunteers', 'years', 'age', 'reported', 'significant', 'comorbidity', 'main', 'reasons', 'declining', 'participation', 'study', 'following', 'fears', 'hcq', 'side', 'effects', 'decliners', 'perception', 'individual', 'risk', 'severe', 'covid', 'low', 'constraints', 'resulting', 'number', 'study', 'visits', 'burden', 'nasopharyngeal', 'swabs', 'sars', 'cov', 'rt', 'pcr', 'six', 'hundred', 'ninety', 'five', 'respondents', 'reported', 'interested', 'participating', 'chemoprophylaxis', 'trial', 'actually', 'enrolled', 'may', 'first', 'center', 'trial', 'started', 'hcws', 'reported', 'interested', 'participating', 'trial', 'enrolled', 'april', 'may', 'french', 'medicine', 'agency', 'put', 'trials', 'evaluating', 'hcq', 'hold']",en
1a331015f85c4e06a97f9e717ffdbec2,"From a historical perspective, pandemics have been repeatedly caused by different pathogens, such as plague in the fourteenth century and cholera in the nineteenth century. Since the twentieth century, we have had the Spanish flu almost 100 years ago, the worst infectious disease in human history, and now the COVID-19 which is caused by SARS-CoV-2 infection [1,2,3]. COVID-19 pandemic is going to profoundly change the health, medicine, economy, and daily life of humanity around the world in this century. It is obvious that the suppression of COVID-19 is an urgent task for all humankind, but even if this is achieved, it has been pointed out that new pandemics may be triggered more frequently in the future due to not only outbreaks of new zoonosis caused by ecological, behavioral, or socioeconomic changes [4] but also the spread of various pathogens that have been isolated in the past as the permafrost in Siberia thaws due to global warming. Based on these scientific evidences and the latest predictive technologies, there is a need to establish diagnostic, therapeutic, and prophylactic methods, including vaccines, for COVID-19.",96,"['historical', 'perspective', 'pandemics', 'repeatedly', 'caused', 'different', 'pathogens', 'plague', 'fourteenth', 'century', 'cholera', 'nineteenth', 'century', 'since', 'twentieth', 'century', 'spanish', 'flu', 'almost', 'years', 'ago', 'worst', 'infectious', 'disease', 'human', 'history', 'covid', 'caused', 'sars', 'cov', 'infection', 'covid', 'pandemic', 'going', 'profoundly', 'change', 'health', 'medicine', 'economy', 'daily', 'life', 'humanity', 'around', 'world', 'century', 'obvious', 'suppression', 'covid', 'urgent', 'task', 'humankind', 'even', 'achieved', 'pointed', 'new', 'pandemics', 'may', 'triggered', 'frequently', 'future', 'due', 'outbreaks', 'new', 'zoonosis', 'caused', 'ecological', 'behavioral', 'socioeconomic', 'changes', 'also', 'spread', 'various', 'pathogens', 'isolated', 'past', 'permafrost', 'siberia', 'thaws', 'due', 'global', 'warming', 'based', 'scientific', 'evidences', 'latest', 'predictive', 'technologies', 'need', 'establish', 'diagnostic', 'therapeutic', 'prophylactic', 'methods', 'including', 'vaccines', 'covid']",en
f51edcfcbe02465cb51339322074b82d,"In mid-July, GloPID-R convened its members, scientists who had received COVID-19 funding, and world leaders in pandemic preparedness and response for a series of COVID-19 Research Synergies Meetings with the purpose of establishing collaboration and identifying knowledge gaps, in order to build a collective path forward to end COVID-19. GloPID-R is an international consortium of 29 funding organisations invested in research related to new or re-emerging infectious diseases [1]. By offering a coordination platform, GloPID-R aims to maximise the use of available resources and streamline research efforts amongst national and global funders. The COVID-19 pandemic has caused unprecedented devastation to the health and economies of countries across the world and has highlighted basic inequalities in society. Understanding the fundamentals of COVID-19 and building on a collaborative approach between researchers and institutions to achieve health equity, universal access and data sharing is critical to reduce the impact of the COVID-19 pandemic.",97,"['mid', 'july', 'glopid', 'r', 'convened', 'members', 'scientists', 'received', 'covid', 'funding', 'world', 'leaders', 'pandemic', 'preparedness', 'response', 'series', 'covid', 'research', 'synergies', 'meetings', 'purpose', 'establishing', 'collaboration', 'identifying', 'knowledge', 'gaps', 'order', 'build', 'collective', 'path', 'forward', 'end', 'covid', 'glopid', 'r', 'international', 'consortium', 'funding', 'organisations', 'invested', 'research', 'related', 'new', 'emerging', 'infectious', 'diseases', 'offering', 'coordination', 'platform', 'glopid', 'r', 'aims', 'maximise', 'use', 'available', 'resources', 'streamline', 'research', 'efforts', 'amongst', 'national', 'global', 'funders', 'covid', 'pandemic', 'caused', 'unprecedented', 'devastation', 'health', 'economies', 'countries', 'across', 'world', 'highlighted', 'basic', 'inequalities', 'society', 'understanding', 'fundamentals', 'covid', 'building', 'collaborative', 'approach', 'researchers', 'institutions', 'achieve', 'health', 'equity', 'universal', 'access', 'data', 'sharing', 'critical', 'reduce', 'impact', 'covid', 'pandemic']",en
a167423f187d42ffa520b1be4bf51ff3,"The COVID-19 pandemic has caused major health and socio-economic disruptions worldwide. Accurate investigation of emerging data is crucial to inform policy makers as they construct viral mitigation strategies. Complications such as variable testing rates and time lags in counting cases, hospitalizations and deaths make it challenging to accurately track and identify true infectious surges from available data, and requires a multi-modal approach that simultaneously considers testing, incidence, hospitalizations, and deaths. Although many websites and applications report a subset of these data, none of them provide graphical displays capable of comparing different states or countries on all these measures as well as various useful quantities derived from them. Here we introduce a freely available dynamic representation tool, COVID-TRACK, that allows the user to simultaneously assess time trends in these measures and compare various states or countries, equipping them with a tool to investigate the potential effects of the different mitigation strategies and timelines used by various jurisdictions.",104,"['covid', 'pandemic', 'caused', 'major', 'health', 'socio', 'economic', 'disruptions', 'worldwide', 'accurate', 'investigation', 'emerging', 'data', 'crucial', 'inform', 'policy', 'makers', 'construct', 'viral', 'mitigation', 'strategies', 'complications', 'variable', 'testing', 'rates', 'time', 'lags', 'counting', 'cases', 'hospitalizations', 'deaths', 'make', 'challenging', 'accurately', 'track', 'identify', 'true', 'infectious', 'surges', 'available', 'data', 'requires', 'multi', 'modal', 'approach', 'simultaneously', 'considers', 'testing', 'incidence', 'hospitalizations', 'deaths', 'although', 'many', 'websites', 'applications', 'report', 'subset', 'data', 'none', 'provide', 'graphical', 'displays', 'capable', 'comparing', 'different', 'states', 'countries', 'measures', 'well', 'various', 'useful', 'quantities', 'derived', 'introduce', 'freely', 'available', 'dynamic', 'representation', 'tool', 'covid', 'track', 'allows', 'user', 'simultaneously', 'assess', 'time', 'trends', 'measures', 'compare', 'various', 'states', 'countries', 'equipping', 'tool', 'investigate', 'potential', 'effects', 'different', 'mitigation', 'strategies', 'timelines', 'used', 'various', 'jurisdictions']",en
52fad18ebfe840559d6aa3dd464cdaf8,"“Every battle is won or lost before it is even fought.” This statement is attributed to Sun Tzu in the Art of War [1], an ancient Chinese military treatise dated from the fifth century BC. It highlights the importance of preparation, positioning and planning before engaging in battle. The emergence of the COVID-19 pandemic painfully revealed how many countries had embarked on a battle that was lost even long before the new coronavirus had reached their borders. More strikingly, most have persisted in this defeatist attitude as the crisis deepened, failing to re-direct their strategy. Living with SARS-CoV-2 by returning as closely as possible to “business as usual” is far from winning the battle. It rather looks like “giving in to the enemy”, while vaccine and drug development efforts only feed the dearest hope for a successful way out.",76,"['every', 'battle', 'lost', 'even', 'fought', 'statement', 'attributed', 'sun', 'tzu', 'art', 'war', 'ancient', 'chinese', 'military', 'treatise', 'dated', 'fifth', 'century', 'bc', 'highlights', 'importance', 'preparation', 'positioning', 'planning', 'engaging', 'battle', 'emergence', 'covid', 'pandemic', 'painfully', 'revealed', 'many', 'countries', 'embarked', 'battle', 'lost', 'even', 'long', 'new', 'coronavirus', 'reached', 'borders', 'strikingly', 'persisted', 'defeatist', 'attitude', 'crisis', 'deepened', 'failing', 'direct', 'strategy', 'living', 'sars', 'cov', 'returning', 'closely', 'possible', 'business', 'usual', 'far', 'winning', 'battle', 'rather', 'looks', 'like', 'giving', 'enemy', 'vaccine', 'drug', 'development', 'efforts', 'feed', 'dearest', 'hope', 'successful', 'way']",en
670fa1c09a1b40baa18010a111740656,"In December 2019, the World Health Organization (WHO) announced a series of pneumonia cases caused by an unknown origin, discovered in Wuhan, China. A dangerous virus called severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) caused a disease named acute respiratory syndrome, which was later popularly called coronavirus infection (COVID-19). Patients with acute COVID-19 are at high risk of thrombosis in various blood vessels due to hypercoagulability, blood stasis, and endothelial damage. In this study, we present a case report of a patient with COVID-19, who was hospitalized in one of the hospitals in Sanandaj, Iran. There were symptoms of fever, chills, muscle aches, cough, and tachycardia. Laboratory tests showed high levels of CRP, ESR, Ferritin CLIA, LDH and D-Dimer in this patient. Doppler ultrasound of the patient also revealed an abnormal finding, thrombosis in the right greater saphenous vein. This suggests that COVID-19 may lead to other negative effects through damage to blood vessels.",102,"['december', 'world', 'health', 'organization', 'announced', 'series', 'pneumonia', 'cases', 'caused', 'unknown', 'origin', 'discovered', 'wuhan', 'china', 'dangerous', 'virus', 'called', 'severe', 'acute', 'respiratory', 'syndrome', 'coronavirus', 'sars', 'cov', 'caused', 'disease', 'named', 'acute', 'respiratory', 'syndrome', 'later', 'popularly', 'called', 'coronavirus', 'infection', 'covid', 'patients', 'acute', 'covid', 'high', 'risk', 'thrombosis', 'various', 'blood', 'vessels', 'due', 'hypercoagulability', 'blood', 'stasis', 'endothelial', 'damage', 'study', 'present', 'case', 'report', 'patient', 'covid', 'hospitalized', 'one', 'hospitals', 'sanandaj', 'iran', 'symptoms', 'fever', 'chills', 'muscle', 'aches', 'cough', 'tachycardia', 'laboratory', 'tests', 'showed', 'high', 'levels', 'crp', 'esr', 'ferritin', 'clia', 'ldh', 'dimer', 'patient', 'doppler', 'ultrasound', 'patient', 'also', 'revealed', 'abnormal', 'finding', 'thrombosis', 'right', 'greater', 'saphenous', 'vein', 'suggests', 'covid', 'may', 'lead', 'negative', 'effects', 'damage', 'blood', 'vessels']",en
ad0b5409a630447dae321c43ce3613dc,"Due to similarities in initial disease presentation, clinicians may be inclined to repeatedly test community-acquired pneumonia cases for COVID-19 before recognizing the need to test for Legionnaires’ disease. Legionnaires’ disease is an illness characterized by pneumonia that has a summer/early fall seasonality due to favorable conditions for Legionella growth and exposure. Legionella proliferate in warm water environments and stagnant sections of indoor plumbing and cooling systems. During the ongoing pandemic crisis, exposures to aerosolized water from recently reopened office or retail buildings should be considered as an epidemiologic risk factor for Legionella exposure and an indication to test. The majority of Legionnaires’ disease cases occurring each year are not diagnosed, and some experts recommend that all patients hospitalized with community-acquired pneumonia without a known etiology be tested for Legionella infection. Proper diagnosis can increase the likelihood of appropriate and timely antibiotic treatment, identify potential clusters of disease, and facilitate source attribution.",100,"['due', 'similarities', 'initial', 'disease', 'presentation', 'clinicians', 'may', 'inclined', 'repeatedly', 'test', 'community', 'acquired', 'pneumonia', 'cases', 'covid', 'recognizing', 'need', 'test', 'legionnaires', 'disease', 'legionnaires', 'disease', 'illness', 'characterized', 'pneumonia', 'summer', 'early', 'fall', 'seasonality', 'due', 'favorable', 'conditions', 'legionella', 'growth', 'exposure', 'legionella', 'proliferate', 'warm', 'water', 'environments', 'stagnant', 'sections', 'indoor', 'plumbing', 'cooling', 'systems', 'ongoing', 'pandemic', 'crisis', 'exposures', 'aerosolized', 'water', 'recently', 'reopened', 'office', 'retail', 'buildings', 'considered', 'epidemiologic', 'risk', 'factor', 'legionella', 'exposure', 'indication', 'test', 'majority', 'legionnaires', 'disease', 'cases', 'occurring', 'year', 'diagnosed', 'experts', 'recommend', 'patients', 'hospitalized', 'community', 'acquired', 'pneumonia', 'without', 'known', 'etiology', 'tested', 'legionella', 'infection', 'proper', 'diagnosis', 'increase', 'likelihood', 'appropriate', 'timely', 'antibiotic', 'treatment', 'identify', 'potential', 'clusters', 'disease', 'facilitate', 'source', 'attribution']",en
a647f4b8d11d4fababaf90b4ea233bb8,"The quarantine period imposed to travelers in many countries due to COVID19 is a major obstacle for any traveler. Lifting the quarantine period could lead to significant improvement in people’s quality of life and any country’s economy. Bahrain have used two quarantine models from arriving passengers. We report data about the incidence of COVID19 on arriving passengers at Bahrain International airport. Infection rates were reported on arrival, during quarantine and after leaving quarantine. Results showed that travelers had low incidence of COVID19 on arriving and during the quarantine period, while becoming at higher risk after leaving quarantine. We concluded that quarantine requirement maybe lifted for arriving travelers. Testing upon arrival with implementation of the public health preventative measures can minimize the risk of transmission.",75,"['quarantine', 'period', 'imposed', 'travelers', 'many', 'countries', 'due', 'major', 'obstacle', 'traveler', 'lifting', 'quarantine', 'period', 'could', 'lead', 'significant', 'improvement', 'people', 'quality', 'life', 'country', 'economy', 'bahrain', 'used', 'two', 'quarantine', 'models', 'arriving', 'passengers', 'report', 'data', 'incidence', 'arriving', 'passengers', 'bahrain', 'international', 'airport', 'infection', 'rates', 'reported', 'arrival', 'quarantine', 'leaving', 'quarantine', 'results', 'showed', 'travelers', 'low', 'incidence', 'arriving', 'quarantine', 'period', 'becoming', 'higher', 'risk', 'leaving', 'quarantine', 'concluded', 'quarantine', 'requirement', 'maybe', 'lifted', 'arriving', 'travelers', 'testing', 'upon', 'arrival', 'implementation', 'public', 'health', 'preventative', 'measures', 'minimize', 'risk', 'transmission']",en
35baae3920e94efca41a420be7ee4854,"This editorial describes why surge planning in the community must account for potential infection outbreaks in jails and prisons, and why incarcerated people and those in contact with them, including over 450,000 correctional officers and thousands of healthcare staff working in prisons, are at significant risk of COVID-19 exposure. We then explain how our nation’s jails and prisons will continue to serve as breeding grounds for devastating COVID-19 outcomes and offer specific guidance and a call to action for the immediate development of correctional healthcare strategies designed to protect the health and safety of patients and correctional and healthcare staff and the communities in which they are situated. Correctional officers and correctional healthcare professionals need the nation’s reassurance during this dire time that they will not be abandoned and further stigmatized for responding to the needs of incarcerated people. Our collective health depends on it.",77,"['editorial', 'describes', 'surge', 'planning', 'community', 'must', 'account', 'potential', 'infection', 'outbreaks', 'jails', 'prisons', 'incarcerated', 'people', 'contact', 'including', 'correctional', 'officers', 'thousands', 'healthcare', 'staff', 'working', 'prisons', 'significant', 'risk', 'covid', 'exposure', 'explain', 'nation', 'jails', 'prisons', 'continue', 'serve', 'breeding', 'grounds', 'devastating', 'covid', 'outcomes', 'offer', 'specific', 'guidance', 'call', 'action', 'immediate', 'development', 'correctional', 'healthcare', 'strategies', 'designed', 'protect', 'health', 'safety', 'patients', 'correctional', 'healthcare', 'staff', 'communities', 'situated', 'correctional', 'officers', 'correctional', 'healthcare', 'professionals', 'need', 'nation', 'reassurance', 'dire', 'time', 'abandoned', 'stigmatized', 'responding', 'needs', 'incarcerated', 'people', 'collective', 'health', 'depends']",en
602d850a414a4525a73271d3d0858785,"There is current debate concerning the use of angiotensin-converting enzyme (ACE) inhibitors or angiotensin II type 1 receptor blockers (ARBs), for hypertension management, during COVID-19 infection. Specifically, the suggestion has been made that ACE inhibitors or ARBs could theoretically contribute to infection via increasing ACE2 receptor expression and hence increase viral load. The ACE2 receptor is responsible for binding the SAR-CoV2 viral spike and causing COVID-19 infection. What makes the argument somewhat obtuse for ACE inhibitors or ARBs is that ACE2 receptor expression can be increased by compounds that activate or increase the expression of SIRT1. Henceforth common dietary interventions, vitamins and nutrients may directly or indirectly influence the cellular expression of the ACE2 receptor. There are many common compounds that can increase the expression of the ACE2 receptor including Vitamin C, Metformin, Resveratrol, Vitamin B3 and Vitamin D. It is important to acknowledge that down-regulation or blocking the cellular ACE2 receptor will likely be pro-inflammatory and may contribute to end organ pathology and mortality in COVID-19. In conclusion from the perspective of the ACE2 receptor, COVID-19 prevention and treatment are distinctly different. This letter reflects on this current debate and suggests angiotensin-converting enzyme inhibitors and ARBs are likely beneficial during COVID-19 infection for hypertensive and normotensive patients.",127,"['current', 'debate', 'concerning', 'use', 'angiotensin', 'converting', 'enzyme', 'ace', 'inhibitors', 'angiotensin', 'ii', 'type', 'receptor', 'blockers', 'arbs', 'hypertension', 'management', 'covid', 'infection', 'specifically', 'suggestion', 'made', 'ace', 'inhibitors', 'arbs', 'could', 'theoretically', 'contribute', 'infection', 'via', 'increasing', 'receptor', 'expression', 'hence', 'increase', 'viral', 'load', 'receptor', 'responsible', 'binding', 'sar', 'viral', 'spike', 'causing', 'covid', 'infection', 'makes', 'argument', 'somewhat', 'obtuse', 'ace', 'inhibitors', 'arbs', 'receptor', 'expression', 'increased', 'compounds', 'activate', 'increase', 'expression', 'henceforth', 'common', 'dietary', 'interventions', 'vitamins', 'nutrients', 'may', 'directly', 'indirectly', 'influence', 'cellular', 'expression', 'receptor', 'many', 'common', 'compounds', 'increase', 'expression', 'receptor', 'including', 'vitamin', 'c', 'metformin', 'resveratrol', 'vitamin', 'vitamin', 'important', 'acknowledge', 'regulation', 'blocking', 'cellular', 'receptor', 'likely', 'pro', 'inflammatory', 'may', 'contribute', 'end', 'organ', 'pathology', 'mortality', 'covid', 'conclusion', 'perspective', 'receptor', 'covid', 'prevention', 'treatment', 'distinctly', 'different', 'letter', 'reflects', 'current', 'debate', 'suggests', 'angiotensin', 'converting', 'enzyme', 'inhibitors', 'arbs', 'likely', 'beneficial', 'covid', 'infection', 'hypertensive', 'normotensive', 'patients']",en
