uuid,abstract,n_tokens_abstract,tokens_abstract,language
e66937fa16d0402b923caabb9006da4e,"A subset of recovered COVID-19 patients report persistent neurological symptoms. These include non-specific symptoms (e.g., headaches and fatigue) which were found to be affected by psychological processes in other disorders (e.g., post-concussion syndrome, PCS, after mild traumatic brain injury). The current study assessed the impact of diagnosis threat (i.e., information regarding the long-term neurological impact of COVID-19) and suggestibility on endorsed symptoms of both recovered patients and healthy controls. Method: Recovered patients (n = 90) and healthy controls (n = 210) described their cognitive functioning after being randomly assigned to: (a) Experimental group: These participants read an article that explored long-term neurological symptoms among COVID-19 survivors. (b) Control group: These participants read an article providing general information regarding the disease. Results: Recovered patients, but not healthy controls, endorsed more symptoms in the experimental condition compared to the control condition. Moreover, suggestibility was correlated with endorsement of symptoms. Conclusions: Post COVID-19 neurological symptoms may, at least partially, be affected by non-neurological factors such as diagnosis threat. Information regarding long-term effects of COVID-19 may skew reported symptoms with highly suggestible individuals particularly susceptible to these effects. Further research, however, is needed to validate and elaborate upon these initial findings.",143,"['subset', 'recovered', 'covid', 'patients', 'report', 'persistent', 'neurological', 'symptoms', 'include', 'non', 'specific', 'symptoms', 'e', 'g', 'headaches', 'fatigue', 'found', 'affected', 'psychological', 'processes', 'disorders', 'e', 'g', 'post', 'concussion', 'syndrome', 'pcs', 'mild', 'traumatic', 'brain', 'injury', 'current', 'study', 'assessed', 'impact', 'diagnosis', 'threat', 'e', 'information', 'regarding', 'long', 'term', 'neurological', 'impact', 'covid', 'suggestibility', 'endorsed', 'symptoms', 'recovered', 'patients', 'healthy', 'controls', 'method', 'recovered', 'patients', 'n', 'healthy', 'controls', 'n', 'described', 'cognitive', 'functioning', 'randomly', 'assigned', 'experimental', 'group', 'participants', 'read', 'article', 'explored', 'long', 'term', 'neurological', 'symptoms', 'among', 'covid', 'survivors', 'b', 'control', 'group', 'participants', 'read', 'article', 'providing', 'general', 'information', 'regarding', 'disease', 'results', 'recovered', 'patients', 'healthy', 'controls', 'endorsed', 'symptoms', 'experimental', 'condition', 'compared', 'control', 'condition', 'moreover', 'suggestibility', 'correlated', 'endorsement', 'symptoms', 'conclusions', 'post', 'covid', 'neurological', 'symptoms', 'may', 'least', 'partially', 'affected', 'non', 'neurological', 'factors', 'diagnosis', 'threat', 'information', 'regarding', 'long', 'term', 'effects', 'covid', 'may', 'skew', 'reported', 'symptoms', 'highly', 'suggestible', 'individuals', 'particularly', 'susceptible', 'effects', 'research', 'however', 'needed', 'validate', 'elaborate', 'upon', 'initial', 'findings']",en
c571700b086c4cf4889bfb75f4dbad83,"The rapid identificationand isolation of COVID-19 patients has become the cornerstone for the control of the recent outbreak. Real-time quantitative polymerase chain reaction is routinely used to confirm COVID-19 diagnosis and is considered the gold standard due to high sensitivity and specificity. Nevertheless, it usually takes several days and a relatively higher cost. Antigen tests based have emerged to cope with such disadvantages, by offering rapid results, an easy-to-use procedure, and low costs. The objective of the narrative review was to provide up-to-date data about CE-marked rapid antigen tests (RATs) for COVID-19. Given their large number, the study only focused on representative and widely used in Spain (Standard Q, Nadal, Panbio, CerTest, and Wondfo). RATs have become a very useful and validated tool for controlling the spread of COVID-19 allowing the rapid identification of active infection and isolation of positive patients. The present revision of the literature has demonstrated that sensitivity and specificity of all available RATs in Spain are high and accomplish European regulations and WHO recommendations.",108,"['rapid', 'identificationand', 'isolation', 'covid', 'patients', 'become', 'cornerstone', 'control', 'recent', 'outbreak', 'real', 'time', 'quantitative', 'polymerase', 'chain', 'reaction', 'routinely', 'used', 'confirm', 'covid', 'diagnosis', 'considered', 'gold', 'standard', 'due', 'high', 'sensitivity', 'specificity', 'nevertheless', 'usually', 'takes', 'several', 'days', 'relatively', 'higher', 'cost', 'antigen', 'tests', 'based', 'emerged', 'cope', 'disadvantages', 'offering', 'rapid', 'results', 'easy', 'use', 'procedure', 'low', 'costs', 'objective', 'narrative', 'review', 'provide', 'date', 'data', 'ce', 'marked', 'rapid', 'antigen', 'tests', 'rats', 'covid', 'given', 'large', 'number', 'study', 'focused', 'representative', 'widely', 'used', 'spain', 'standard', 'q', 'nadal', 'panbio', 'certest', 'wondfo', 'rats', 'become', 'useful', 'validated', 'tool', 'controlling', 'spread', 'covid', 'allowing', 'rapid', 'identification', 'active', 'infection', 'isolation', 'positive', 'patients', 'present', 'revision', 'literature', 'demonstrated', 'sensitivity', 'specificity', 'available', 'rats', 'spain', 'high', 'accomplish', 'european', 'regulations', 'recommendations']",en
ac111148073a4c338a3efbc27cee8967,"Mental health problems are common among adolescents and greatly influenced by stressful events. This study sought to assess the prevalence and correlates of insomnia, depressive and anxiety symptoms among Chinese adolescents during the COVID-19. Method: Cross-sectional study (N = 1,794 adolescents, mean age = 15.26) was conducted in May 2020. An online survey was used to collect socio-demographic data, COVID-related fear (COVID-fear), nutrition, physical activity (PA) level and the symptoms of insomnia, depression and anxiety. Results: The prevalence of insomnia, depressive and anxiety symptoms was 37.80%, 48.20% and 36.70%, respectively, among Chinese adolescents during the pandemic. Generalized linear models revealed that female, left behind children, and students with greater COVID-fear tended to report symptoms of insomnia, depression and anxiety concurrently. After adjusting for socio-demographic factors and COVID-fear, better nutritional status and moderately active PA were both associated with lower levels of depressive and anxiety symptoms, while highly active PA was associated with lower levels of insomnia, depressive and anxiety symptoms. Conclusions: These findings suggest that more attention should be paid to psychological health among adolescents while combating COVID-19. To promote adolescents’ mental health, educators should help adolescents develop a healthy lifestyle with balanced diet and regular exercise.",137,"['mental', 'health', 'problems', 'common', 'among', 'adolescents', 'greatly', 'influenced', 'stressful', 'events', 'study', 'sought', 'assess', 'prevalence', 'correlates', 'insomnia', 'depressive', 'anxiety', 'symptoms', 'among', 'chinese', 'adolescents', 'covid', 'method', 'cross', 'sectional', 'study', 'n', 'adolescents', 'mean', 'age', 'conducted', 'may', 'online', 'survey', 'used', 'collect', 'socio', 'demographic', 'data', 'covid', 'related', 'fear', 'covid', 'fear', 'nutrition', 'physical', 'activity', 'pa', 'level', 'symptoms', 'insomnia', 'depression', 'anxiety', 'results', 'prevalence', 'insomnia', 'depressive', 'anxiety', 'symptoms', 'respectively', 'among', 'chinese', 'adolescents', 'pandemic', 'generalized', 'linear', 'models', 'revealed', 'female', 'left', 'behind', 'children', 'students', 'greater', 'covid', 'fear', 'tended', 'report', 'symptoms', 'insomnia', 'depression', 'anxiety', 'concurrently', 'adjusting', 'socio', 'demographic', 'factors', 'covid', 'fear', 'better', 'nutritional', 'status', 'moderately', 'active', 'pa', 'associated', 'lower', 'levels', 'depressive', 'anxiety', 'symptoms', 'highly', 'active', 'pa', 'associated', 'lower', 'levels', 'insomnia', 'depressive', 'anxiety', 'symptoms', 'conclusions', 'findings', 'suggest', 'attention', 'paid', 'psychological', 'health', 'among', 'adolescents', 'combating', 'covid', 'promote', 'adolescents', 'mental', 'health', 'educators', 'help', 'adolescents', 'develop', 'healthy', 'lifestyle', 'balanced', 'diet', 'regular', 'exercise']",en
ab34085369964e27ad2f9a03dd7805e3,"In 1348, a pandemic known as Black Death devastated humanity and changed social, economic and geopolitical world order, as is the current case with SARS-CoV-2 coronavirus. The doctor of the Nasrid Kingdom of Granada, Ibn-Jatima from Almeria, wrote “Treatise on the Plague”, in which it may be found epidemiological and clinical similarities between both plagues. In the context of Greco-Arab medicine, he discovered respiratory and contact contagion of Pestis and attributed its physiopathology to a lack of pulmonary cooling of the innate heat, generated in the heart and carried by the blood humor. The process described was equivalent to the oxygen transport system. Furthermore, it was supposed to generate toxic residues, such as free radicals, leading to an irreversible multiple organ failure (MOF), considered a mortality factor as in Covid-19. Due to its similitude, it would be the first antecedent of the MOF physiopathological concept, a finding that enriches the scientific and historical heritage of our clinical specialty.",92,"['pandemic', 'known', 'black', 'death', 'devastated', 'humanity', 'changed', 'social', 'economic', 'geopolitical', 'world', 'order', 'current', 'case', 'sars', 'cov', 'coronavirus', 'doctor', 'nasrid', 'kingdom', 'granada', 'ibn', 'jatima', 'almeria', 'wrote', 'treatise', 'plague', 'may', 'found', 'epidemiological', 'clinical', 'similarities', 'plagues', 'context', 'greco', 'arab', 'medicine', 'discovered', 'respiratory', 'contact', 'contagion', 'pestis', 'attributed', 'physiopathology', 'lack', 'pulmonary', 'cooling', 'innate', 'heat', 'generated', 'heart', 'carried', 'blood', 'humor', 'process', 'described', 'equivalent', 'oxygen', 'transport', 'system', 'furthermore', 'supposed', 'generate', 'toxic', 'residues', 'free', 'radicals', 'leading', 'irreversible', 'multiple', 'organ', 'failure', 'mof', 'considered', 'mortality', 'factor', 'covid', 'due', 'similitude', 'would', 'first', 'antecedent', 'mof', 'physiopathological', 'concept', 'finding', 'enriches', 'scientific', 'historical', 'heritage', 'clinical', 'specialty']",en
ac526b05dfb249de81cb86e94305be81,"COVID-19 is a newly emerged disease that has become a global public health challenge. Due to a lack of knowledge about the virus, a significant number of potential targets for using a particular drug have been proposed. Five cases with a clinical history of biopolymers in the gluteal region that developed iatrogenic allogenosis (IA) are presented here. The 5 cases were put under colchicine treatment for IA crisis and had non-specific symptoms (headache, cough without dyspnea, and arthralgias) with a positive SARS-CoV-2 test. Their close contacts had mild to severe symptoms and three of them died. In the SARS-CoV-2 infection different inflammatory pathways are altered where colchicine reduces cytokine levels as well as the activation of macrophages, neutrophils, and the inflammasome. The possible mechanisms that colchicine may use to prevent acute respiratory distress syndrome (ARDS) in patients with COVID-19 infection are also reviewed in this article.",91,"['covid', 'newly', 'emerged', 'disease', 'become', 'global', 'public', 'health', 'challenge', 'due', 'lack', 'knowledge', 'virus', 'significant', 'number', 'potential', 'targets', 'using', 'particular', 'drug', 'proposed', 'five', 'cases', 'clinical', 'history', 'biopolymers', 'gluteal', 'region', 'developed', 'iatrogenic', 'allogenosis', 'ia', 'presented', 'cases', 'put', 'colchicine', 'treatment', 'ia', 'crisis', 'non', 'specific', 'symptoms', 'headache', 'cough', 'without', 'dyspnea', 'arthralgias', 'positive', 'sars', 'cov', 'test', 'close', 'contacts', 'mild', 'severe', 'symptoms', 'three', 'died', 'sars', 'cov', 'infection', 'different', 'inflammatory', 'pathways', 'altered', 'colchicine', 'reduces', 'cytokine', 'levels', 'well', 'activation', 'macrophages', 'neutrophils', 'inflammasome', 'possible', 'mechanisms', 'colchicine', 'may', 'use', 'prevent', 'acute', 'respiratory', 'distress', 'syndrome', 'ards', 'patients', 'covid', 'infection', 'also', 'reviewed', 'article']",en
c5b7cb70d73346af8b9a6fb7131d9a56,"COVID-19 is a newly emerged disease that has become a global public health challenge. Due to a lack of knowledge about the virus, a significant number of potential targets for using a particular drug have been proposed. Five cases with a clinical history of biopolymers in the gluteal region that developed iatrogenic allogenosis (IA) are presented here. The 5 cases were put under colchicine treatment for IA crisis and had non-specific symptoms (headache, cough without dyspnea, and arthralgias) with a positive SARS-CoV-2 test. Their close contacts had mild to severe symptoms and three of them died. In the SARS-CoV-2 infection different inflammatory pathways are altered where colchicine reduces cytokine levels as well as the activation of macrophages, neutrophils, and the inflammasome. The possible mechanisms that colchicine may use to prevent acute respiratory distress syndrome (ARDS) in patients with COVID-19 infection are also reviewed in this article.",91,"['covid', 'newly', 'emerged', 'disease', 'become', 'global', 'public', 'health', 'challenge', 'due', 'lack', 'knowledge', 'virus', 'significant', 'number', 'potential', 'targets', 'using', 'particular', 'drug', 'proposed', 'five', 'cases', 'clinical', 'history', 'biopolymers', 'gluteal', 'region', 'developed', 'iatrogenic', 'allogenosis', 'ia', 'presented', 'cases', 'put', 'colchicine', 'treatment', 'ia', 'crisis', 'non', 'specific', 'symptoms', 'headache', 'cough', 'without', 'dyspnea', 'arthralgias', 'positive', 'sars', 'cov', 'test', 'close', 'contacts', 'mild', 'severe', 'symptoms', 'three', 'died', 'sars', 'cov', 'infection', 'different', 'inflammatory', 'pathways', 'altered', 'colchicine', 'reduces', 'cytokine', 'levels', 'well', 'activation', 'macrophages', 'neutrophils', 'inflammasome', 'possible', 'mechanisms', 'colchicine', 'may', 'use', 'prevent', 'acute', 'respiratory', 'distress', 'syndrome', 'ards', 'patients', 'covid', 'infection', 'also', 'reviewed', 'article']",en
13f9305fcf274c0b9a7b50614967f867,"In recent months, much of the scientific efforts have focused on research on SARSCoV-2 infection and its consequences in humans. Still, many aspects remain unknown. It is known that the damage caused by SARS-CoV-2 is multifactorial and that its extension goes beyond lung inflammation and the acute phase, with the appearance of numerous complications and sequelae. To date, knowledge about the usefulness of 18F-FDG-PET/CT in the acute phase has been limited to the incidental detection of SARS-CoV-2 unsuspected pneumonia. Recent studies have been appearing collecting the findings of 18F-FDG-PET/CT in long COVID-19 or persistent COVID-19 state as well as the alterations caused after mass vaccination of the population in the metabolic studies. This work aims to review the existing literature focusing on these three issues and to briefly present our own preliminary experience.",81,"['recent', 'months', 'much', 'scientific', 'efforts', 'focused', 'research', 'sarscov', 'infection', 'consequences', 'humans', 'still', 'many', 'aspects', 'remain', 'unknown', 'known', 'damage', 'caused', 'sars', 'cov', 'multifactorial', 'extension', 'goes', 'beyond', 'lung', 'inflammation', 'acute', 'phase', 'appearance', 'numerous', 'complications', 'sequelae', 'date', 'knowledge', 'usefulness', 'fdg', 'pet', 'ct', 'acute', 'phase', 'limited', 'incidental', 'detection', 'sars', 'cov', 'unsuspected', 'pneumonia', 'recent', 'studies', 'appearing', 'collecting', 'findings', 'fdg', 'pet', 'ct', 'long', 'covid', 'persistent', 'covid', 'state', 'well', 'alterations', 'caused', 'mass', 'vaccination', 'population', 'metabolic', 'studies', 'work', 'aims', 'review', 'existing', 'literature', 'focusing', 'three', 'issues', 'briefly', 'present', 'preliminary', 'experience']",en
97a6379fb49243d4b2747c9a15bc6f42,"The health emergency in Spain caused by COVID-19 was of such a magnitude that on March 14, 2020, a state of alarm was declared that lasted for more than three months. This ongoing pandemic has affected a vast number of people. Among the measures taken to reduce the risk of contagion, visits to health centers have been reduced and virtual consultations have increased. Once the pandemic ends, it will be necessary to consider whether telemedicine should be limited to periods of health crises or whether it could become a new way of practicing medicine. Telemedicine lacks specific regulations and has loopholes that leave physicians with a considerable degree of insecurity. This article analyzes the limits, precautions, and legal standards of the use of telemedicine.",67,"['health', 'emergency', 'spain', 'caused', 'covid', 'magnitude', 'march', 'state', 'alarm', 'declared', 'lasted', 'three', 'months', 'ongoing', 'pandemic', 'affected', 'vast', 'number', 'people', 'among', 'measures', 'taken', 'reduce', 'risk', 'contagion', 'visits', 'health', 'centers', 'reduced', 'virtual', 'consultations', 'increased', 'pandemic', 'ends', 'necessary', 'consider', 'whether', 'telemedicine', 'limited', 'periods', 'health', 'crises', 'whether', 'could', 'become', 'new', 'way', 'practicing', 'medicine', 'telemedicine', 'lacks', 'specific', 'regulations', 'loopholes', 'leave', 'physicians', 'considerable', 'degree', 'insecurity', 'article', 'analyzes', 'limits', 'precautions', 'legal', 'standards', 'use', 'telemedicine']",en
18f7573123c042dd938209e65668b763,"Systemic lupus erythematosus (SLE) is a chronic and potentially fatal autoimmune disease. There are clinical differences between women and men and among age groups. Its treatment involves a heterogeneous group of drugs. The objective was to determine the pharmacological treatment patterns in a group of patients with SLE and compare them according to sex, age group and geographic region. This was a cross-sectional study that identified outpatient drugs used in patients with SLE from a population database of Colombians affiliated with the Colombian Health System. Sociodemographic and pharmacological variables were considered. Descriptive and bivariate analyses were performed. A total of 4307 patients with SLE were identified (median age, 44.2 years; 89.4% women). Disease-modifying antirheumatics were the most prescribed drugs (90.5%), especially chloroquine (54.4%), which predominated in all age groups and geographical regions. Hydroxychloroquine and methotrexate were the predominant prescribed drugs for women, while corticosteroids, chloroquine, azathioprine, and mycophenolate were the predominant prescribed drugs for men. The use of corticosteroids (prednisolone and prednisone) decreased with increasing age. Differences were found in the prescription of drugs for patients with SLE between women and men and among geographic regions and age groups. The use of chloroquine predominated over hydroxychloroquine, contrasting with clinical practice guidelines.",122,"['systemic', 'lupus', 'erythematosus', 'sle', 'chronic', 'potentially', 'fatal', 'autoimmune', 'disease', 'clinical', 'differences', 'women', 'men', 'among', 'age', 'groups', 'treatment', 'involves', 'heterogeneous', 'group', 'drugs', 'objective', 'determine', 'pharmacological', 'treatment', 'patterns', 'group', 'patients', 'sle', 'compare', 'according', 'sex', 'age', 'group', 'geographic', 'region', 'cross', 'sectional', 'study', 'identified', 'outpatient', 'drugs', 'used', 'patients', 'sle', 'population', 'database', 'colombians', 'affiliated', 'colombian', 'health', 'system', 'sociodemographic', 'pharmacological', 'variables', 'considered', 'descriptive', 'bivariate', 'analyses', 'performed', 'total', 'patients', 'sle', 'identified', 'median', 'age', 'years', 'women', 'disease', 'modifying', 'antirheumatics', 'prescribed', 'drugs', 'especially', 'chloroquine', 'predominated', 'age', 'groups', 'geographical', 'regions', 'hydroxychloroquine', 'methotrexate', 'predominant', 'prescribed', 'drugs', 'women', 'corticosteroids', 'chloroquine', 'azathioprine', 'mycophenolate', 'predominant', 'prescribed', 'drugs', 'men', 'use', 'corticosteroids', 'prednisolone', 'prednisone', 'decreased', 'increasing', 'age', 'differences', 'found', 'prescription', 'drugs', 'patients', 'sle', 'women', 'men', 'among', 'geographic', 'regions', 'age', 'groups', 'use', 'chloroquine', 'predominated', 'hydroxychloroquine', 'contrasting', 'clinical', 'practice', 'guidelines']",en
3ec94bc51ca64c58b85a193c067f4bba,"Influenza infection has been identified as a triggering or exacerbating factor for cardiovascular events. To analyse the effect of influenza vaccination on cardiovascular disease, a systematic search of studies published between 2009–2019 was conducted. All the studies that evaluated the effect of vaccination against influenza on cardiovascular events and their outcome were considered. Finally, 30 of the 1147 identified studies were included. These studies show a protective effect of the influenza vaccine on the development of cardiovascular events (myocardial infarction, cerebrovascular accidents, atrial fibrillation, and heart failure) and on the worsening of these conditions. Furthermore, the data showed that vaccinated patients have a lower risk of death from cardiovascular pathologies. Influenza vaccination is therefore an effective measure in the prevention of cardiovascular diseases both in patients with established cardiovascular disease and in the population without previous coronary pathology.",78,"['influenza', 'infection', 'identified', 'triggering', 'exacerbating', 'factor', 'cardiovascular', 'events', 'analyse', 'effect', 'influenza', 'vaccination', 'cardiovascular', 'disease', 'systematic', 'search', 'studies', 'published', 'conducted', 'studies', 'evaluated', 'effect', 'vaccination', 'influenza', 'cardiovascular', 'events', 'outcome', 'considered', 'finally', 'identified', 'studies', 'included', 'studies', 'show', 'protective', 'effect', 'influenza', 'vaccine', 'development', 'cardiovascular', 'events', 'myocardial', 'infarction', 'cerebrovascular', 'accidents', 'atrial', 'fibrillation', 'heart', 'failure', 'worsening', 'conditions', 'furthermore', 'data', 'showed', 'vaccinated', 'patients', 'lower', 'risk', 'death', 'cardiovascular', 'pathologies', 'influenza', 'vaccination', 'therefore', 'effective', 'measure', 'prevention', 'cardiovascular', 'diseases', 'patients', 'established', 'cardiovascular', 'disease', 'population', 'without', 'previous', 'coronary', 'pathology']",en
