uuid,abstract,n_tokens_abstract,tokens_abstract,language
11001f73ad5443dbbbaeff80e0dba4db,"Severe COVID-19 is characterized by extensive pulmonary complications, to which host immune responses are believed to play a role. As the major arm of innate immunity, neutrophils are one of the first cells recruited to the site of infection where their excessive activation can contribute to lung pathology. Low-density granulocytes (LDGs) are circulating neutrophils, whose numbers increase in some autoimmune diseases and cancer, but are poorly characterized in acute viral infections. Using flow cytometry, we detected a significant increase of LDGs in the blood of acute COVID-19 patients, compared to healthy controls. Based on their surface marker expression, COVID-19-related LDGs exhibit four different populations, which display distinctive stages of granulocytic development and most likely reflect emergency myelopoiesis. Moreover, COVID-19 LDGs show a link with an elevated recruitment and activation of neutrophils. Functional assays demonstrated the immunosuppressive capacities of these cells, which might contribute to impaired lymphocyte responses during acute disease. Taken together, our data confirms a significant granulocyte activation during COVID-19 and suggests that granulocytes of lower density play a role in disease progression.",117,"['severe', 'covid', 'characterized', 'extensive', 'pulmonary', 'complications', 'host', 'immune', 'responses', 'believed', 'play', 'role', 'major', 'arm', 'innate', 'immunity', 'neutrophils', 'one', 'first', 'cells', 'recruited', 'site', 'infection', 'excessive', 'activation', 'contribute', 'lung', 'pathology', 'low', 'density', 'granulocytes', 'ldgs', 'circulating', 'neutrophils', 'whose', 'numbers', 'increase', 'autoimmune', 'diseases', 'cancer', 'poorly', 'characterized', 'acute', 'viral', 'infections', 'using', 'flow', 'cytometry', 'detected', 'significant', 'increase', 'ldgs', 'blood', 'acute', 'covid', 'patients', 'compared', 'healthy', 'controls', 'based', 'surface', 'marker', 'expression', 'covid', 'related', 'ldgs', 'exhibit', 'four', 'different', 'populations', 'display', 'distinctive', 'stages', 'granulocytic', 'development', 'likely', 'reflect', 'emergency', 'myelopoiesis', 'moreover', 'covid', 'ldgs', 'show', 'link', 'elevated', 'recruitment', 'activation', 'neutrophils', 'functional', 'assays', 'demonstrated', 'immunosuppressive', 'capacities', 'cells', 'might', 'contribute', 'impaired', 'lymphocyte', 'responses', 'acute', 'disease', 'taken', 'together', 'data', 'confirms', 'significant', 'granulocyte', 'activation', 'covid', 'suggests', 'granulocytes', 'lower', 'density', 'play', 'role', 'disease', 'progression']",en
b3faa08c94274f06b7d861ad6093055d,"Coronavirus Disease 2019 (COVID-19), caused by a new strain of coronavirus called Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2), was declared a pandemic by WHO on March 11, 2020. Soon after its emergence in late December 2019, it was noticed that diabetic individuals were at an increased risk of COVID-19–associated complications, ICU admissions, and mortality. Maintaining proper blood glucose levels using insulin and/or other oral antidiabetic drugs (such as Metformin) reduced the detrimental effects of COVID-19. Interestingly, in diabetic COVID-19 patients, while insulin administration was associated with adverse outcomes, Metformin treatment was correlated with a significant reduction in disease severity and mortality rates among affected individuals. Metformin was extensively studied for its antioxidant, anti-inflammatory, immunomodulatory, and antiviral capabilities that would explain its ability to confer cardiopulmonary and vascular protection in COVID-19. Here, we describe the various possible molecular mechanisms that contribute to Metformin therapy’s beneficial effects and lay out the scientific basis of repurposing Metformin for use in COVID-19 patients.",104,"['coronavirus', 'disease', 'covid', 'caused', 'new', 'strain', 'coronavirus', 'called', 'severe', 'acute', 'respiratory', 'syndrome', 'coronavirus', 'sars', 'cov', 'declared', 'pandemic', 'march', 'soon', 'emergence', 'late', 'december', 'noticed', 'diabetic', 'individuals', 'increased', 'risk', 'covid', 'associated', 'complications', 'icu', 'admissions', 'mortality', 'maintaining', 'proper', 'blood', 'glucose', 'levels', 'using', 'insulin', 'oral', 'antidiabetic', 'drugs', 'metformin', 'reduced', 'detrimental', 'effects', 'covid', 'interestingly', 'diabetic', 'covid', 'patients', 'insulin', 'administration', 'associated', 'adverse', 'outcomes', 'metformin', 'treatment', 'correlated', 'significant', 'reduction', 'disease', 'severity', 'mortality', 'rates', 'among', 'affected', 'individuals', 'metformin', 'extensively', 'studied', 'antioxidant', 'anti', 'inflammatory', 'immunomodulatory', 'antiviral', 'capabilities', 'would', 'explain', 'ability', 'confer', 'cardiopulmonary', 'vascular', 'protection', 'covid', 'describe', 'various', 'possible', 'molecular', 'mechanisms', 'contribute', 'metformin', 'therapy', 'beneficial', 'effects', 'lay', 'scientific', 'basis', 'repurposing', 'metformin', 'use', 'covid', 'patients']",en
debc55b7bf784215a76bd4673ca620d7,"This Pearl article recounts the story of a US corporation, Lennar, the nation’s leading homebuilder, an essential function in the US (not allowed to lock down), when faced with the coronavirus disease 2019 (COVID-19) pandemic at the end of February 2020. The culture of the company, which allowed it to proceed safely, is one of cohesion, trust, teamwork, and respect for fellow humans. Theirs is a culture in which the safety, wellness, and health of the associates (employees) and the communities they serve is the number one priority. All associates wear a name badge with first name only, and all name badges share the same family name, Lennar. At Lennar, individual success means nothing, and collective success means everything. This is the story of how Lennar took control of the COVID-19 pandemic, metamorphosed itself into an even stronger organization, better suited to deal with COVID-19, and more importantly, optimally suited for the 21st century. The lessons learned not only were instrumental to Lennar but could also apply to any company eager to reopen their business.",95,"['pearl', 'article', 'recounts', 'story', 'us', 'corporation', 'lennar', 'nation', 'leading', 'homebuilder', 'essential', 'function', 'us', 'allowed', 'lock', 'faced', 'coronavirus', 'disease', 'covid', 'pandemic', 'end', 'february', 'culture', 'company', 'allowed', 'proceed', 'safely', 'one', 'cohesion', 'trust', 'teamwork', 'respect', 'fellow', 'humans', 'culture', 'safety', 'wellness', 'health', 'associates', 'employees', 'communities', 'serve', 'number', 'one', 'priority', 'associates', 'wear', 'name', 'badge', 'first', 'name', 'name', 'badges', 'share', 'family', 'name', 'lennar', 'lennar', 'individual', 'success', 'means', 'nothing', 'collective', 'success', 'means', 'everything', 'story', 'lennar', 'took', 'control', 'covid', 'pandemic', 'metamorphosed', 'even', 'stronger', 'organization', 'better', 'suited', 'deal', 'covid', 'importantly', 'optimally', 'suited', 'century', 'lessons', 'learned', 'instrumental', 'lennar', 'could', 'also', 'apply', 'company', 'eager', 'reopen', 'business']",en
4c8bef590047411c9dc1cdd313789ee8,"The host response to SARS-CoV-2 infection provide insights into both viral pathogenesis and patient management. The host-encoded microRNA (miRNA) response to SARS-CoV-2 infection, however, remains poorly defined. Here we profiled circulating miRNAs from ten COVID-19 patients sampled longitudinally and ten age and gender matched healthy donors. We observed 55 miRNAs that were altered in COVID-19 patients during early-stage disease, with the inflammatory miR-31-5p the most strongly upregulated. Supervised machine learning analysis revealed that a three-miRNA signature (miR-423-5p, miR-23a-3p and miR-195-5p) independently classified COVID-19 cases with an accuracy of 99.9%. In a ferret COVID-19 model, the three-miRNA signature again detected SARS-CoV-2 infection with 99.7% accuracy, and distinguished SARS-CoV-2 infection from influenza A (H1N1) infection and healthy controls with 95% accuracy. Distinct miRNA profiles were also observed in COVID-19 patients requiring oxygenation. This study demonstrates that SARS-CoV-2 infection induces a robust host miRNA response that could improve COVID-19 detection and patient management.",110,"['host', 'response', 'sars', 'cov', 'infection', 'provide', 'insights', 'viral', 'pathogenesis', 'patient', 'management', 'host', 'encoded', 'microrna', 'mirna', 'response', 'sars', 'cov', 'infection', 'however', 'remains', 'poorly', 'defined', 'profiled', 'circulating', 'mirnas', 'ten', 'covid', 'patients', 'sampled', 'longitudinally', 'ten', 'age', 'gender', 'matched', 'healthy', 'donors', 'observed', 'mirnas', 'altered', 'covid', 'patients', 'early', 'stage', 'disease', 'inflammatory', 'mir', 'strongly', 'upregulated', 'supervised', 'machine', 'learning', 'analysis', 'revealed', 'three', 'mirna', 'signature', 'mir', 'mir', 'mir', 'independently', 'classified', 'covid', 'cases', 'accuracy', 'ferret', 'covid', 'model', 'three', 'mirna', 'signature', 'detected', 'sars', 'cov', 'infection', 'accuracy', 'distinguished', 'sars', 'cov', 'infection', 'influenza', 'infection', 'healthy', 'controls', 'accuracy', 'distinct', 'mirna', 'profiles', 'also', 'observed', 'covid', 'patients', 'requiring', 'oxygenation', 'study', 'demonstrates', 'sars', 'cov', 'infection', 'induces', 'robust', 'host', 'mirna', 'response', 'could', 'improve', 'covid', 'detection', 'patient', 'management']",en
9eb82afcd68d4eaeba478b76787d9ada,"The COVID-19 pandemic has caused more than 575,000 deaths worldwide as of mid-July 2020 and still continues globally unabated. Immune dysfunction and cytokine storm complicate the disease, which in turn leads to the question of whether stimulation or suppression of the immune system would curb the disease. Given the varied antiviral and regulatory functions of natural killer (NK) cells, they could be potent and powerful immune allies in this global fight against COVID-19. Unfortunately, there is somewhat limited knowledge of the role of NK cells in SARS-CoV-2 infections and even in the related SARS-CoV-1 and MERS-CoV infections. Several NK cell therapeutic options already exist in the treatment of tumor and other viral diseases and could be repurposed against COVID-19. In this review, we describe the current understanding and potential roles of NK cells and other Fc receptor (FcR) effector cells in SARS-CoV-2 infection, advantages of using animals to model COVID-19, and NK cell–based therapeutics that are being investigated for COVID-19 therapy.",104,"['covid', 'pandemic', 'caused', 'deaths', 'worldwide', 'mid', 'july', 'still', 'continues', 'globally', 'unabated', 'immune', 'dysfunction', 'cytokine', 'storm', 'complicate', 'disease', 'turn', 'leads', 'question', 'whether', 'stimulation', 'suppression', 'immune', 'system', 'would', 'curb', 'disease', 'given', 'varied', 'antiviral', 'regulatory', 'functions', 'natural', 'killer', 'nk', 'cells', 'could', 'potent', 'powerful', 'immune', 'allies', 'global', 'fight', 'covid', 'unfortunately', 'somewhat', 'limited', 'knowledge', 'role', 'nk', 'cells', 'sars', 'cov', 'infections', 'even', 'related', 'sars', 'cov', 'mers', 'cov', 'infections', 'several', 'nk', 'cell', 'therapeutic', 'options', 'already', 'exist', 'treatment', 'tumor', 'viral', 'diseases', 'could', 'repurposed', 'covid', 'review', 'describe', 'current', 'understanding', 'potential', 'roles', 'nk', 'cells', 'fc', 'receptor', 'fcr', 'effector', 'cells', 'sars', 'cov', 'infection', 'advantages', 'using', 'animals', 'model', 'covid', 'nk', 'cell', 'based', 'therapeutics', 'investigated', 'covid', 'therapy']",en
191785faa9c5454e9d14cc583aeaddf0,"The current pandemic emergence of novel coronavirus disease (COVID-19) poses a relevant threat to global health. SARS-CoV-2 infection is characterized by a wide range of clinical manifestations, ranging from absence of symptoms to severe forms that need intensive care treatment. Here, plasma-EDTA samples of 30 patients compared with age- and sex-matched controls were analyzed via untargeted nuclear magnetic resonance (NMR)-based metabolomics and lipidomics. With the same approach, the effect of tocilizumab administration was evaluated in a subset of patients. Despite the heterogeneity of the clinical symptoms, COVID-19 patients are characterized by common plasma metabolomic and lipidomic signatures (91.7% and 87.5% accuracy, respectively, when compared to controls). Tocilizumab treatment resulted in at least partial reversion of the metabolic alterations due to SARS-CoV-2 infection. In conclusion, NMR-based metabolomic and lipidomic profiling provides novel insights into the pathophysiological mechanism of human response to SARS-CoV-2 infection and to monitor treatment outcomes.",102,"['current', 'pandemic', 'emergence', 'novel', 'coronavirus', 'disease', 'covid', 'poses', 'relevant', 'threat', 'global', 'health', 'sars', 'cov', 'infection', 'characterized', 'wide', 'range', 'clinical', 'manifestations', 'ranging', 'absence', 'symptoms', 'severe', 'forms', 'need', 'intensive', 'care', 'treatment', 'plasma', 'edta', 'samples', 'patients', 'compared', 'age', 'sex', 'matched', 'controls', 'analyzed', 'via', 'untargeted', 'nuclear', 'magnetic', 'resonance', 'nmr', 'based', 'metabolomics', 'lipidomics', 'approach', 'effect', 'tocilizumab', 'administration', 'evaluated', 'subset', 'patients', 'despite', 'heterogeneity', 'clinical', 'symptoms', 'covid', 'patients', 'characterized', 'common', 'plasma', 'metabolomic', 'lipidomic', 'signatures', 'accuracy', 'respectively', 'compared', 'controls', 'tocilizumab', 'treatment', 'resulted', 'least', 'partial', 'reversion', 'metabolic', 'alterations', 'due', 'sars', 'cov', 'infection', 'conclusion', 'nmr', 'based', 'metabolomic', 'lipidomic', 'profiling', 'provides', 'novel', 'insights', 'pathophysiological', 'mechanism', 'human', 'response', 'sars', 'cov', 'infection', 'monitor', 'treatment', 'outcomes']",en
fb7eafc194e343dcadce89c53fbaa87b,"Coronavirus Disease 2019 (COVID-19) pandemic remains a major public health threat in most countries. The causative severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) virus can lead to acute respiratory distress syndrome and result in mortality in COVID-19 patients. Vitamin D is an immunomodulator hormone with established effectiveness against various upper respiratory infections. Vitamin D can stall hyper-inflammatory responses and expedite healing process of the affected areas, primarily in the lung tissue. Thus, there are ecological and mechanistic reasons to promote exploration of vitamin D action in COVID-19 patients. As no curative drugs are available currently for COVID-19, we feel that the potential of vitamin D to alter the course of disease severity needs to be investigated. Clinical studies may be undertaken to address the value of vitamin D supplementation in deficient, high-risk COVID-19 patients.",87,"['coronavirus', 'disease', 'covid', 'pandemic', 'remains', 'major', 'public', 'health', 'threat', 'countries', 'causative', 'severe', 'acute', 'respiratory', 'syndrome', 'coronavirus', 'sars', 'cov', 'virus', 'lead', 'acute', 'respiratory', 'distress', 'syndrome', 'result', 'mortality', 'covid', 'patients', 'vitamin', 'immunomodulator', 'hormone', 'established', 'effectiveness', 'various', 'upper', 'respiratory', 'infections', 'vitamin', 'stall', 'hyper', 'inflammatory', 'responses', 'expedite', 'healing', 'process', 'affected', 'areas', 'primarily', 'lung', 'tissue', 'thus', 'ecological', 'mechanistic', 'reasons', 'promote', 'exploration', 'vitamin', 'action', 'covid', 'patients', 'curative', 'drugs', 'available', 'currently', 'covid', 'feel', 'potential', 'vitamin', 'alter', 'course', 'disease', 'severity', 'needs', 'investigated', 'clinical', 'studies', 'may', 'undertaken', 'address', 'value', 'vitamin', 'supplementation', 'deficient', 'high', 'risk', 'covid', 'patients']",en
c97b0dbcef45453c8217b0f3957ab9d9,"The first cluster of patients suffering from coronavirus disease 2019 (COVID-19) was identified on December 21, 2019, and as of July 29, 2020, severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infections have been linked with 664,333 deaths and number at least 16,932,996 worldwide. Unprecedented in global societal impact, the COVID-19 pandemic has tested local, national, and international preparedness for viral outbreaks to the limits. Just as it will be vital to identify missed opportunities and improve contingency planning for future outbreaks, we must also highlight key successes and build on them. Concomitant to the emergence of a novel viral disease, there is a ‘research and development gap’ that poses a threat to the overall pace and quality of outbreak response during its most crucial early phase. Here, we outline key components of an adequate research response to novel viral outbreaks using the example of SARS-CoV-2. We highlight the exceptional recent progress made in fundamental science, resulting in the fastest scientific response to a major infectious disease outbreak or pandemic. We underline the vital role of the international research community, from the implementation of diagnostics and contact tracing procedures to the collective search for vaccines and antiviral therapies, sustained by unique information sharing efforts.",120,"['first', 'cluster', 'patients', 'suffering', 'coronavirus', 'disease', 'covid', 'identified', 'december', 'july', 'severe', 'acute', 'respiratory', 'syndrome', 'coronavirus', 'sars', 'cov', 'infections', 'linked', 'deaths', 'number', 'least', 'worldwide', 'unprecedented', 'global', 'societal', 'impact', 'covid', 'pandemic', 'tested', 'local', 'national', 'international', 'preparedness', 'viral', 'outbreaks', 'limits', 'vital', 'identify', 'missed', 'opportunities', 'improve', 'contingency', 'planning', 'future', 'outbreaks', 'must', 'also', 'highlight', 'key', 'successes', 'build', 'concomitant', 'emergence', 'novel', 'viral', 'disease', 'research', 'development', 'gap', 'poses', 'threat', 'overall', 'pace', 'quality', 'outbreak', 'response', 'crucial', 'early', 'phase', 'outline', 'key', 'components', 'adequate', 'research', 'response', 'novel', 'viral', 'outbreaks', 'using', 'example', 'sars', 'cov', 'highlight', 'exceptional', 'recent', 'progress', 'made', 'fundamental', 'science', 'resulting', 'fastest', 'scientific', 'response', 'major', 'infectious', 'disease', 'outbreak', 'pandemic', 'underline', 'vital', 'role', 'international', 'research', 'community', 'implementation', 'diagnostics', 'contact', 'tracing', 'procedures', 'collective', 'search', 'vaccines', 'antiviral', 'therapies', 'sustained', 'unique', 'information', 'sharing', 'efforts']",en
1541c5a39be54a2c8623a8380c1914f0,"Since SARS-CoV-2 appeared in the human population, the scientific community has scrambled to gather as much information as possible to find good strategies for the containment and treatment of this pandemic virus. Here, we performed a systematic review of the current (pre)published SARS-CoV-2 literature with a focus on the evidence concerning SARS-CoV-2 distribution in human tissues and viral shedding in body fluids. In addition, this evidence is aligned with published ACE2 entry-receptor (single cell) expression data across the human body to construct a viral distribution and ACE2 receptor body map. We highlight the broad organotropism of SARS-CoV-2, as many studies identified viral components (RNA, proteins) in multiple organs, including the pharynx, trachea, lungs, blood, heart, vessels, intestines, brain, male genitals and kidneys. This also implicates the presence of viral components in various body fluids such as mucus, saliva, urine, cerebrospinal fluid, semen and breast milk. The main SARS-CoV-2 entry receptor, ACE2, is expressed at different levels in multiple tissues throughout the human body, but its expression levels do not always correspond with SARS-CoV-2 detection, indicating that there is a complex interplay between virus and host. Together, these data shed new light on the current view of SARS-CoV-2 pathogenesis and lay the foundation for better diagnosis and treatment of COVID-19 patients.",144,"['since', 'sars', 'cov', 'appeared', 'human', 'population', 'scientific', 'community', 'scrambled', 'gather', 'much', 'information', 'possible', 'find', 'good', 'strategies', 'containment', 'treatment', 'pandemic', 'virus', 'performed', 'systematic', 'review', 'current', 'pre', 'published', 'sars', 'cov', 'literature', 'focus', 'evidence', 'concerning', 'sars', 'cov', 'distribution', 'human', 'tissues', 'viral', 'shedding', 'body', 'fluids', 'addition', 'evidence', 'aligned', 'published', 'entry', 'receptor', 'single', 'cell', 'expression', 'data', 'across', 'human', 'body', 'construct', 'viral', 'distribution', 'receptor', 'body', 'map', 'highlight', 'broad', 'organotropism', 'sars', 'cov', 'many', 'studies', 'identified', 'viral', 'components', 'rna', 'proteins', 'multiple', 'organs', 'including', 'pharynx', 'trachea', 'lungs', 'blood', 'heart', 'vessels', 'intestines', 'brain', 'male', 'genitals', 'kidneys', 'also', 'implicates', 'presence', 'viral', 'components', 'various', 'body', 'fluids', 'mucus', 'saliva', 'urine', 'cerebrospinal', 'fluid', 'semen', 'breast', 'milk', 'main', 'sars', 'cov', 'entry', 'receptor', 'expressed', 'different', 'levels', 'multiple', 'tissues', 'throughout', 'human', 'body', 'expression', 'levels', 'always', 'correspond', 'sars', 'cov', 'detection', 'indicating', 'complex', 'interplay', 'virus', 'host', 'together', 'data', 'shed', 'new', 'light', 'current', 'view', 'sars', 'cov', 'pathogenesis', 'lay', 'foundation', 'better', 'diagnosis', 'treatment', 'covid', 'patients']",en
5aa8dc9ffeb74294872bb1f812afad0f,"Protective variables for Coronavirus Disease 2019 (COVID-19) are unknown. “Trained immunity” of the populace as a result of Bacille Calmette–Guérin (BCG) vaccination policy implementation and coverage had been suggested to be one of the factors responsible for the differential impact of COVID-19 on different countries. Several trials are underway to evaluate the potential protective role of BCG vaccination in COVID-19. However, the lack of clarity on the use of appropriate controls concerning the measures of “trained immunity” or the heterologous cell-mediated immunity conferred by BCG vaccination has been a cause of concern leading to more confusion as exemplified by a recently concluded trial in Israel that failed to find any protective correlation with regard to BCG vaccination. Whereas, when we analyze the COVID-19 epidemiological data of European countries without any regard for BCG vaccination policy but with similar age distribution, comparable confounding variables, and the stage of the pandemic, the prevalence of tuberculin immunoreactivity—a measure of cell-mediated immunity persistence as a result of Mycobacterium spp. (including BCG vaccine) exposure of the populations—is found consistently negatively correlated with COVID-19 infections and mortality. We seek to draw attention toward the inclusion of controls for underlying “trained immunity” and heterologous cell-mediated immunity prevalence that may be preexisting or resulting from the intervention (e.g., BCG vaccine) in such trials to arrive at more dependable conclusions concerning potential benefit from them.",142,"['protective', 'variables', 'coronavirus', 'disease', 'covid', 'unknown', 'trained', 'immunity', 'populace', 'result', 'bacille', 'calmette', 'guérin', 'bcg', 'vaccination', 'policy', 'implementation', 'coverage', 'suggested', 'one', 'factors', 'responsible', 'differential', 'impact', 'covid', 'different', 'countries', 'several', 'trials', 'underway', 'evaluate', 'potential', 'protective', 'role', 'bcg', 'vaccination', 'covid', 'however', 'lack', 'clarity', 'use', 'appropriate', 'controls', 'concerning', 'measures', 'trained', 'immunity', 'heterologous', 'cell', 'mediated', 'immunity', 'conferred', 'bcg', 'vaccination', 'cause', 'concern', 'leading', 'confusion', 'exemplified', 'recently', 'concluded', 'trial', 'israel', 'failed', 'find', 'protective', 'correlation', 'regard', 'bcg', 'vaccination', 'whereas', 'analyze', 'covid', 'epidemiological', 'data', 'european', 'countries', 'without', 'regard', 'bcg', 'vaccination', 'policy', 'similar', 'age', 'distribution', 'comparable', 'confounding', 'variables', 'stage', 'pandemic', 'prevalence', 'tuberculin', 'immunoreactivity', 'measure', 'cell', 'mediated', 'immunity', 'persistence', 'result', 'mycobacterium', 'spp', 'including', 'bcg', 'vaccine', 'exposure', 'populations', 'found', 'consistently', 'negatively', 'correlated', 'covid', 'infections', 'mortality', 'seek', 'draw', 'attention', 'toward', 'inclusion', 'controls', 'underlying', 'trained', 'immunity', 'heterologous', 'cell', 'mediated', 'immunity', 'prevalence', 'may', 'preexisting', 'resulting', 'intervention', 'e', 'g', 'bcg', 'vaccine', 'trials', 'arrive', 'dependable', 'conclusions', 'concerning', 'potential', 'benefit']",en
