,fecha,dosis_total,primera_dosis,segunda_dosis,day,country
0,2021-01-21,0.0,0.0,0.0,21,Ecuador
1,2021-01-22,108.0,108.0,0.0,22,Ecuador
2,2021-01-27,2982.0,2982.0,0.0,27,Ecuador
3,2021-02-04,6228.0,6228.0,0.0,35,Ecuador
4,2021-02-17,8190.0,6228.0,1962.0,48,Ecuador
5,2021-02-24,24492.0,20784.0,3708.0,55,Ecuador
6,2021-03-01,42114.0,35886.0,6228.0,60,Ecuador
7,2021-03-04,59316.0,53088.0,6228.0,63,Ecuador
8,2021-03-05,71148.0,64920.0,6228.0,64,Ecuador
9,2021-03-08,74472.0,68244.0,6228.0,67,Ecuador
10,2021-03-09,75258.0,69030.0,6228.0,68,Ecuador
11,2021-03-11,95915.0,89687.0,6228.0,70,Ecuador
12,2021-03-12,123176.0,116948.0,6228.0,71,Ecuador
13,2021-03-13,139359.0,119222.0,20137.0,72,Ecuador
14,2021-03-15,141191.0,121054.0,20137.0,74,Ecuador
15,2021-03-21,178970.0,140765.0,38205.0,80,Ecuador
16,2021-03-23,182261.0,143614.0,38647.0,82,Ecuador
17,2021-03-24,191179.0,152526.0,38653.0,83,Ecuador
18,2021-03-26,230770.0,172413.0,58357.0,85,Ecuador
19,2021-03-27,235000.0,174642.0,60358.0,86,Ecuador
20,2021-03-29,244866.0,182329.0,62537.0,88,Ecuador
21,2021-04-01,283106.0,204902.0,78204.0,91,Ecuador
22,2021-04-04,301069.0,211720.0,89349.0,94,Ecuador
23,2021-04-05,335093.0,228504.0,106589.0,95,Ecuador
24,2021-04-06,356783.0,244159.0,112624.0,96,Ecuador
25,2021-04-08,363255.0,250631.0,112624.0,98,Ecuador
26,2021-04-14,480962.0,338180.0,142782.0,104,Ecuador
27,2021-04-15,485132.0,338180.0,146952.0,105,Ecuador
28,2021-04-16,514151.0,354019.0,160132.0,106,Ecuador
29,2021-04-17,545132.0,377199.0,167933.0,107,Ecuador
30,2021-04-18,554369.0,384093.0,170276.0,108,Ecuador
31,2021-04-19,577711.0,401871.0,175840.0,109,Ecuador
32,2021-04-20,601229.0,421937.0,179292.0,110,Ecuador
33,2021-04-21,643702.0,457403.0,186299.0,111,Ecuador
34,2021-04-22,675510.0,486524.0,188986.0,112,Ecuador
35,2021-04-23,711204.0,514854.0,196350.0,113,Ecuador
36,2021-04-24,732717.0,532367.0,200350.0,114,Ecuador
37,2021-04-25,743937.0,541420.0,202517.0,115,Ecuador
38,2021-04-26,765489.0,555265.0,210224.0,116,Ecuador
39,2021-04-27,816175.0,595699.0,220476.0,117,Ecuador
40,2021-04-28,861393.0,633421.0,227972.0,118,Ecuador
41,2021-04-29,920865.0,691000.0,229865.0,119,Ecuador
42,2021-04-30,987452.0,748021.0,239431.0,120,Ecuador
43,2021-05-01,1036794.0,791822.0,244972.0,121,Ecuador
44,2021-05-02,1067472.0,821960.0,245512.0,122,Ecuador
45,2021-05-04,1141262.0,889218.0,252044.0,124,Ecuador
46,2021-05-05,1182085.0,924539.0,257546.0,125,Ecuador
9,2021-01-01,8649.0,8649.0,0.0,1,Chile
10,2021-01-02,8649.0,8649.0,0.0,2,Chile
11,2021-01-03,8649.0,8649.0,0.0,3,Chile
12,2021-01-04,9054.0,9054.0,0.0,4,Chile
13,2021-01-05,10497.0,10497.0,0.0,5,Chile
14,2021-01-06,10702.0,10702.0,0.0,6,Chile
15,2021-01-07,10702.0,10702.0,0.0,7,Chile
16,2021-01-08,10702.0,10702.0,0.0,8,Chile
17,2021-01-09,10702.0,10702.0,0.0,9,Chile
18,2021-01-10,10702.0,10702.0,0.0,10,Chile
19,2021-01-11,10702.0,10702.0,0.0,11,Chile
20,2021-01-12,10702.0,10702.0,0.0,12,Chile
21,2021-01-13,11732.0,10703.0,1029.0,13,Chile
22,2021-01-14,18646.0,12821.0,5825.0,14,Chile
23,2021-01-15,22077.0,13778.0,8299.0,15,Chile
24,2021-01-16,22167.0,13801.0,8366.0,16,Chile
25,2021-01-17,22167.0,13801.0,8366.0,17,Chile
26,2021-01-18,33202.0,24836.0,8366.0,18,Chile
27,2021-01-19,52555.0,44187.0,8368.0,19,Chile
28,2021-01-20,61859.0,53491.0,8368.0,20,Chile
29,2021-01-21,64920.0,56552.0,8368.0,21,Chile
30,2021-01-22,65332.0,56964.0,8368.0,22,Chile
31,2021-01-23,65332.0,56964.0,8368.0,23,Chile
32,2021-01-24,65332.0,56964.0,8368.0,24,Chile
33,2021-01-25,66752.0,56981.0,9771.0,25,Chile
34,2021-01-26,67368.0,57002.0,10366.0,26,Chile
35,2021-01-27,67403.0,57003.0,10400.0,27,Chile
36,2021-01-28,67403.0,57003.0,10400.0,28,Chile
37,2021-01-29,67408.0,57003.0,10405.0,29,Chile
38,2021-01-30,67409.0,57004.0,10405.0,30,Chile
39,2021-01-31,67409.0,57004.0,10405.0,31,Chile
40,2021-02-01,67409.0,57004.0,10405.0,32,Chile
41,2021-02-02,80596.0,70185.0,10411.0,33,Chile
42,2021-02-03,251009.0,240598.0,10411.0,34,Chile
43,2021-02-04,427193.0,414674.0,12519.0,35,Chile
44,2021-02-05,596577.0,583388.0,13189.0,36,Chile
45,2021-02-06,624430.0,611236.0,13194.0,37,Chile
46,2021-02-07,633067.0,619872.0,13195.0,38,Chile
47,2021-02-08,866361.0,841398.0,24963.0,39,Chile
48,2021-02-09,1128242.0,1083919.0,44323.0,40,Chile
49,2021-02-10,1409162.0,1356507.0,52655.0,41,Chile
50,2021-02-11,1663341.0,1607805.0,55536.0,42,Chile
51,2021-02-12,1892844.0,1837098.0,55746.0,43,Chile
52,2021-02-13,1922384.0,1866604.0,55780.0,44,Chile
53,2021-02-14,1926850.0,1871070.0,55780.0,45,Chile
54,2021-02-15,2192757.0,2136977.0,55780.0,46,Chile
55,2021-02-16,2412826.0,2357036.0,55790.0,47,Chile
56,2021-02-17,2600937.0,2545147.0,55790.0,48,Chile
57,2021-02-18,2756231.0,2700441.0,55790.0,49,Chile
58,2021-02-19,2898411.0,2842621.0,55790.0,50,Chile
59,2021-02-20,2908050.0,2852260.0,55790.0,51,Chile
60,2021-02-21,2909214.0,2853424.0,55790.0,52,Chile
61,2021-02-22,3017363.0,2961552.0,55811.0,53,Chile
62,2021-02-23,3111640.0,3055789.0,55851.0,54,Chile
63,2021-02-24,3197930.0,3141906.0,56024.0,55,Chile
64,2021-02-25,3284014.0,3227846.0,56168.0,56,Chile
65,2021-02-26,3362234.0,3305948.0,56286.0,57,Chile
66,2021-02-27,3372212.0,3315922.0,56290.0,58,Chile
67,2021-02-28,3372567.0,3316277.0,56290.0,59,Chile
68,2021-03-01,3510103.0,3453406.0,56697.0,60,Chile
69,2021-03-02,3681436.0,3612326.0,69110.0,61,Chile
70,2021-03-03,3993312.0,3770161.0,223151.0,62,Chile
71,2021-03-04,4303807.0,3914848.0,388959.0,63,Chile
72,2021-03-05,4601617.0,4051115.0,550502.0,64,Chile
73,2021-03-06,4635386.0,4060759.0,574627.0,65,Chile
74,2021-03-07,4643346.0,4061825.0,581521.0,66,Chile
75,2021-03-08,4993912.0,4198419.0,795493.0,67,Chile
76,2021-03-09,5370377.0,4337409.0,1032968.0,68,Chile
77,2021-03-10,5771578.0,4473161.0,1298417.0,69,Chile
78,2021-03-11,6188479.0,4644585.0,1543894.0,70,Chile
79,2021-03-12,6562762.0,4795786.0,1766976.0,71,Chile
80,2021-03-13,6613183.0,4820082.0,1793101.0,72,Chile
81,2021-03-14,6619763.0,4822828.0,1796935.0,73,Chile
82,2021-03-15,7049853.0,4980529.0,2069324.0,74,Chile
83,2021-03-16,7459583.0,5146830.0,2312753.0,75,Chile
84,2021-03-17,7826365.0,5297621.0,2528744.0,76,Chile
85,2021-03-18,8160385.0,5445591.0,2714794.0,77,Chile
86,2021-03-19,8450926.0,5581398.0,2869528.0,78,Chile
87,2021-03-20,8485054.0,5604542.0,2880512.0,79,Chile
88,2021-03-21,8489074.0,5607387.0,2881687.0,80,Chile
89,2021-03-22,8754910.0,5751304.0,3003606.0,81,Chile
90,2021-03-23,8992336.0,5898221.0,3094115.0,82,Chile
91,2021-03-24,9209895.0,6051030.0,3158865.0,83,Chile
92,2021-03-25,9421537.0,6207493.0,3214044.0,84,Chile
93,2021-03-26,9638352.0,6373397.0,3264955.0,85,Chile
94,2021-03-27,9653956.0,6386259.0,3267697.0,86,Chile
95,2021-03-28,9655346.0,6387228.0,3268118.0,87,Chile
96,2021-03-29,9921545.0,6537979.0,3383566.0,88,Chile
97,2021-03-30,10199339.0,6671233.0,3528106.0,89,Chile
98,2021-03-31,10478970.0,6797748.0,3681222.0,90,Chile
99,2021-04-01,10781690.0,6932055.0,3849635.0,91,Chile
100,2021-04-02,10788703.0,6933901.0,3854802.0,92,Chile
101,2021-04-03,10791919.0,6935775.0,3856144.0,93,Chile
102,2021-04-04,10793034.0,6936431.0,3856603.0,94,Chile
103,2021-04-05,11077151.0,7015901.0,4061250.0,95,Chile
104,2021-04-06,11316108.0,7108423.0,4207685.0,96,Chile
105,2021-04-07,11548623.0,7202746.0,4345877.0,97,Chile
106,2021-04-08,11787424.0,7278959.0,4508465.0,98,Chile
107,2021-04-09,12005623.0,7349240.0,4656383.0,99,Chile
108,2021-04-10,12031509.0,7360308.0,4671201.0,100,Chile
109,2021-04-11,12033949.0,7361391.0,4672558.0,101,Chile
110,2021-04-12,12269997.0,7438884.0,4831113.0,102,Chile
111,2021-04-13,12503997.0,7513225.0,4990772.0,103,Chile
112,2021-04-14,12731987.0,7591859.0,5140128.0,104,Chile
113,2021-04-15,12937198.0,7653293.0,5283905.0,105,Chile
114,2021-04-16,13127359.0,7710918.0,5416441.0,106,Chile
115,2021-04-17,13149500.0,7718729.0,5430771.0,107,Chile
116,2021-04-18,13152109.0,7719587.0,5432522.0,108,Chile
117,2021-04-19,13344029.0,7763173.0,5580856.0,109,Chile
118,2021-04-20,13529584.0,7802011.0,5727573.0,110,Chile
119,2021-04-21,13705275.0,7832920.0,5872355.0,111,Chile
120,2021-04-22,13904275.0,7888822.0,6015453.0,112,Chile
121,2021-04-23,14086891.0,7928437.0,6158454.0,113,Chile
122,2021-04-24,14104445.0,7934135.0,6170310.0,114,Chile
123,2021-04-25,14105478.0,7934483.0,6170995.0,115,Chile
124,2021-04-26,14301012.0,7977264.0,6323748.0,116,Chile
125,2021-04-27,14471161.0,8015986.0,6455175.0,117,Chile
126,2021-04-28,14639102.0,8059224.0,6579878.0,118,Chile
127,2021-04-29,14793662.0,8089865.0,6703797.0,119,Chile
128,2021-04-30,14880764.0,8140345.0,6740419.0,120,Chile
129,2021-05-01,14883010.0,8141391.0,6741619.0,121,Chile
130,2021-05-02,14884431.0,8142156.0,6742275.0,122,Chile
131,2021-05-03,15035370.0,8217868.0,6817502.0,123,Chile
132,2021-05-04,15203968.0,8298641.0,6905327.0,124,Chile
133,2021-05-05,15377709.0,8379754.0,6997955.0,125,Chile
134,2021-05-06,15534187.0,8460601.0,7073586.0,126,Chile
135,2021-05-07,15679145.0,8543101.0,7136044.0,127,Chile
136,2021-05-08,15703842.0,8559854.0,7143988.0,128,Chile
0,2021-05-08,53041048.0,35371669.0,17669379.0,128,Inglaterra
1,2021-05-07,52433184.0,35202642.0,17230542.0,127,Inglaterra
2,2021-05-06,51834361.0,35069641.0,16764720.0,126,Inglaterra
3,2021-05-05,51225890.0,34934171.0,16291719.0,125,Inglaterra
4,2021-05-04,50682567.0,34795074.0,15887493.0,124,Inglaterra
