,vaccine,total,arrived_at,day
0,Pfizer/BioNTech,8190,2021-01-20,20
1,Pfizer/BioNTech,16380,2021-02-17,48
2,Pfizer/BioNTech,17550,2021-02-24,55
3,Pfizer/BioNTech,31590,2021-03-03,62
4,Sinovac,20000,2021-03-06,65
5,Pfizer/BioNTech,73710,2021-03-10,69
6,Oxford/AstraZeneca,84000,2021-03-17,76
7,Pfizer/BioNTech,62010,2021-03-17,76
8,Pfizer/BioNTech,65520,2021-03-24,83
9,Pfizer/BioNTech,66690,2021-03-31,90
10,Pfizer/BioNTech,53820,2021-04-05,95
11,Sinovac,300000,2021-04-07,97
12,Sinovac,700000,2021-04-10,100
13,Pfizer/BioNTech,53820,2021-04-14,104
14,Pfizer/BioNTech,54990,2021-04-21,111
15,Oxford/AstraZeneca,336000,2021-04-24,114
16,Pfizer/BioNTech,54990,2021-04-28,118
17,Pfizer/BioNTech,100620,2021-05-04,124
