date,confirmed,deaths,recovered,day
2020-03-01,6,0,0,60
2020-03-02,6,0,0,61
2020-03-03,7,0,0,62
2020-03-04,10,0,0,63
2020-03-05,13,0,0,64
2020-03-06,13,0,0,65
2020-03-07,13,0,0,66
2020-03-08,14,0,0,67
2020-03-09,15,0,0,68
2020-03-10,15,0,0,69
2020-03-11,17,0,0,70
2020-03-12,17,0,0,71
2020-03-13,17,0,0,72
2020-03-14,28,2,0,73
2020-03-15,28,2,0,74
2020-03-16,37,2,0,75
2020-03-17,58,2,0,76
2020-03-18,111,2,0,77
2020-03-19,199,3,0,78
2020-03-20,367,5,0,79
2020-03-21,506,7,3,80
2020-03-22,789,14,3,81
2020-03-23,981,18,3,82
2020-03-24,1082,27,3,83
2020-03-25,1173,28,3,84
2020-03-26,1403,34,3,85
2020-03-27,1595,36,3,86
2020-03-28,1823,48,3,87
2020-03-29,1924,58,3,88
2020-03-30,1962,60,3,89
2020-03-31,2240,75,54,90
2020-04-01,2748,93,58,91
2020-04-02,3163,120,65,92
2020-04-03,3368,145,65,93
2020-04-04,3465,172,100,94
2020-04-05,3646,180,100,95
2020-04-06,3747,191,100,96
2020-04-07,3747,191,100,97
2020-04-08,4450,242,140,98
2020-04-09,4965,272,339,99
2020-04-10,7161,297,368,100
2020-04-11,7257,315,411,101
2020-04-12,7466,333,501,102
2020-04-13,7529,355,597,103
2020-04-14,7603,369,696,104
2020-04-15,7858,388,780,105
2020-04-16,8225,403,838,106
2020-04-17,8450,421,838,107
2020-04-18,9022,456,1008,108
2020-04-19,9468,474,1061,109
2020-04-20,10128,507,1150,110
2020-04-21,10398,520,1207,111
2020-04-22,10850,537,1262,112
2020-04-23,11183,560,1328,113
2020-04-24,22719,576,1366,114
2020-04-25,22719,576,1366,115
2020-04-26,22719,576,1366,116
2020-04-27,23240,663,1557,117
2020-04-28,24258,871,1557,118
2020-04-29,24675,883,1557,119
2020-04-30,24934,900,1558,120
2020-05-01,26336,1063,1913,121
2020-05-02,27464,1371,2132,122
